field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
CSP-019,es,optico|coseno|iam|reflectancia|intercept|cr,COS|IAM|RHO|GAMMA|CR,-,optical_analysis_report|solarpiLOT_output,optical_analysis|efficiency,COS;IAM;RHO;GAMMA;CR,cos_theta\s*=\s*(\d+\.?\d*)|IAM\s*=\s*(\d+\.?\d*)|reflectance\s*=\s*(\d+\.?\d*),optical|cosine|IAM|reflectance,thermal efficiency,convert to fraction,"in [0,1]",False,False,True,"if out of [0,1]"
CSP-020,es,optico|coseno|iam|reflectancia|intercept|cr,COS|IAM|RHO|GAMMA|CR,-,optical_analysis_report|solarpiLOT_output,optical_analysis|efficiency,COS;IAM;RHO;GAMMA;CR,cos_theta\s*=\s*(\d+\.?\d*)|IAM\s*=\s*(\d+\.?\d*)|reflectance\s*=\s*(\d+\.?\d*),optical|cosine|IAM|reflectance,thermal efficiency,convert to fraction,"in [0,1]",False,False,True,"if out of [0,1]"
CSP-021,es,optico|coseno|iam|reflectancia|intercept|cr,COS|IAM|RHO|GAMMA|CR,-,optical_analysis_report|solarpiLOT_output,optical_analysis|efficiency,COS;IAM;RHO;GAMMA;CR,cos_theta\s*=\s*(\d+\.?\d*)|IAM\s*=\s*(\d+\.?\d*)|reflectance\s*=\s*(\d+\.?\d*),optical|cosine|IAM|reflectance,thermal efficiency,convert to fraction,"in [0,1]",False,False,True,"if out of [0,1]"
CSP-022,es,optico|coseno|iam|reflectancia|intercept|cr,COS|IAM|RHO|GAMMA|CR,%,optical_analysis_report|solarpiLOT_output,optical_analysis|efficiency,COS;IAM;RHO;GAMMA;CR,cos_theta\s*=\s*(\d+\.?\d*)|IAM\s*=\s*(\d+\.?\d*)|reflectance\s*=\s*(\d+\.?\d*),optical|cosine|IAM|reflectance,thermal efficiency,convert to fraction,"in [0,1]",False,False,True,"if out of [0,1]"
CSP-023,es,optico|coseno|iam|reflectancia|intercept|cr,COS|IAM|RHO|GAMMA|CR,%,optical_analysis_report|solarpiLOT_output,optical_analysis|efficiency,COS;IAM;RHO;GAMMA;CR,cos_theta\s*=\s*(\d+\.?\d*)|IAM\s*=\s*(\d+\.?\d*)|reflectance\s*=\s*(\d+\.?\d*),optical|cosine|IAM|reflectance,thermal efficiency,convert to fraction,"in [0,1]",False,False,True,"if out of [0,1]"
CSP-024,es,optico|coseno|iam|reflectancia|intercept|cr,COS|IAM|RHO|GAMMA|CR,-,optical_analysis_report|solarpiLOT_output,optical_analysis|efficiency,COS;IAM;RHO;GAMMA;CR,cos_theta\s*=\s*(\d+\.?\d*)|IAM\s*=\s*(\d+\.?\d*)|reflectance\s*=\s*(\d+\.?\d*),optical|cosine|IAM|reflectance,thermal efficiency,convert to fraction,"in [0,1]",False,False,True,"if out of [0,1]"
CSP-025,es,optico|coseno|iam|reflectancia|intercept|cr,COS|IAM|RHO|GAMMA|CR,-,optical_analysis_report|solarpiLOT_output,optical_analysis|efficiency,COS;IAM;RHO;GAMMA;CR,cos_theta\s*=\s*(\d+\.?\d*)|IAM\s*=\s*(\d+\.?\d*)|reflectance\s*=\s*(\d+\.?\d*),optical|cosine|IAM|reflectance,thermal efficiency,convert to fraction,"in [0,1]",False,False,True,"if out of [0,1]"
CSP-026,es,optico|coseno|iam|reflectancia|intercept|cr,COS|IAM|RHO|GAMMA|CR,-,optical_analysis_report|solarpiLOT_output,optical_analysis|efficiency,COS;IAM;RHO;GAMMA;CR,cos_theta\s*=\s*(\d+\.?\d*)|IAM\s*=\s*(\d+\.?\d*)|reflectance\s*=\s*(\d+\.?\d*),optical|cosine|IAM|reflectance,thermal efficiency,convert to fraction,"in [0,1]",False,False,True,"if out of [0,1]"
CSP-027,es,optico|coseno|iam|reflectancia|intercept|cr,COS|IAM|RHO|GAMMA|CR,%,optical_analysis_report|solarpiLOT_output,optical_analysis|efficiency,COS;IAM;RHO;GAMMA;CR,cos_theta\s*=\s*(\d+\.?\d*)|IAM\s*=\s*(\d+\.?\d*)|reflectance\s*=\s*(\d+\.?\d*),optical|cosine|IAM|reflectance,thermal efficiency,convert to fraction,"in [0,1]",False,False,True,"if out of [0,1]"
CSP-028,es,optico|coseno|iam|reflectancia|intercept|cr,COS|IAM|RHO|GAMMA|CR,mrad,optical_analysis_report|solarpiLOT_output,optical_analysis|efficiency,COS;IAM;RHO;GAMMA;CR,cos_theta\s*=\s*(\d+\.?\d*)|IAM\s*=\s*(\d+\.?\d*)|reflectance\s*=\s*(\d+\.?\d*),optical|cosine|IAM|reflectance,thermal efficiency,convert to fraction,"in [0,1]",False,False,True,"if out of [0,1]"
CSP-029,es,heliostato|espejo|reflectante,HEL|MIR,m2,heliostat_datasheet|supplier_spec,heliostat_data|mirror,HEL;MIR,aperture\s*=\s*(\d+\.?\d*)|height\s*=\s*(\d+\.?\d*)|width\s*=\s*(\d+\.?\d*),heliostat|mirror|aperture,thermal collector,SI units,in heliostat range,False,False,True,if area > 200 m2
CSP-030,es,heliostato|espejo|reflectante,HEL|MIR,m,heliostat_datasheet|supplier_spec,heliostat_data|mirror,HEL;MIR,aperture\s*=\s*(\d+\.?\d*)|height\s*=\s*(\d+\.?\d*)|width\s*=\s*(\d+\.?\d*),heliostat|mirror|aperture,thermal collector,SI units,in heliostat range,False,False,True,if area > 200 m2
CSP-031,es,heliostato|espejo|reflectante,HEL|MIR,m,heliostat_datasheet|supplier_spec,heliostat_data|mirror,HEL;MIR,aperture\s*=\s*(\d+\.?\d*)|height\s*=\s*(\d+\.?\d*)|width\s*=\s*(\d+\.?\d*),heliostat|mirror|aperture,thermal collector,SI units,in heliostat range,False,False,True,if area > 200 m2
CSP-032,es,heliostato|espejo|reflectante,HEL|MIR,-,heliostat_datasheet|supplier_spec,heliostat_data|mirror,HEL;MIR,aperture\s*=\s*(\d+\.?\d*)|height\s*=\s*(\d+\.?\d*)|width\s*=\s*(\d+\.?\d*),heliostat|mirror|aperture,thermal collector,SI units,in heliostat range,False,False,True,if area > 200 m2
CSP-033,es,heliostato|espejo|reflectante,HEL|MIR,-,heliostat_datasheet|supplier_spec,heliostat_data|mirror,HEL;MIR,aperture\s*=\s*(\d+\.?\d*)|height\s*=\s*(\d+\.?\d*)|width\s*=\s*(\d+\.?\d*),heliostat|mirror|aperture,thermal collector,SI units,in heliostat range,False,False,True,if area > 200 m2
CSP-034,es,campo_heliostatos|layout|packing,LAYOUT|PACK|BLK|SHD,-,solarpiLOT_layout|optical_report,heliostat_field|layout,LAYOUT;PACK;BLK;SHD,layout\s*=\s*(\w+)|packing\s*=\s*(\d+\.?\d*)|blocking\s*=\s*(\d+\.?\d*),heliostat field|packing|blocking,thermal field,"layout enum, otros fractions","packing [0.1,0.5]",False,False,True,if packing out of range
CSP-035,es,campo_heliostatos|layout|packing,LAYOUT|PACK|BLK|SHD,-,solarpiLOT_layout|optical_report,heliostat_field|layout,LAYOUT;PACK;BLK;SHD,layout\s*=\s*(\w+)|packing\s*=\s*(\d+\.?\d*)|blocking\s*=\s*(\d+\.?\d*),heliostat field|packing|blocking,thermal field,"layout enum, otros fractions","packing [0.1,0.5]",False,False,True,if packing out of range
CSP-036,es,campo_heliostatos|layout|packing,LAYOUT|PACK|BLK|SHD,%,solarpiLOT_layout|optical_report,heliostat_field|layout,LAYOUT;PACK;BLK;SHD,layout\s*=\s*(\w+)|packing\s*=\s*(\d+\.?\d*)|blocking\s*=\s*(\d+\.?\d*),heliostat field|packing|blocking,thermal field,"layout enum, otros fractions","packing [0.1,0.5]",False,False,True,if packing out of range
CSP-037,es,campo_heliostatos|layout|packing,LAYOUT|PACK|BLK|SHD,%,solarpiLOT_layout|optical_report,heliostat_field|layout,LAYOUT;PACK;BLK;SHD,layout\s*=\s*(\w+)|packing\s*=\s*(\d+\.?\d*)|blocking\s*=\s*(\d+\.?\d*),heliostat field|packing|blocking,thermal field,"layout enum, otros fractions","packing [0.1,0.5]",False,False,True,if packing out of range
CSP-038,es,campo_heliostatos|layout|packing,LAYOUT|PACK|BLK|SHD,-,solarpiLOT_layout|optical_report,heliostat_field|layout,LAYOUT;PACK;BLK;SHD,layout\s*=\s*(\w+)|packing\s*=\s*(\d+\.?\d*)|blocking\s*=\s*(\d+\.?\d*),heliostat field|packing|blocking,thermal field,"layout enum, otros fractions","packing [0.1,0.5]",False,False,True,if packing out of range
CSP-039,es,campo_heliostatos|layout|packing,LAYOUT|PACK|BLK|SHD,%,solarpiLOT_layout|optical_report,heliostat_field|layout,LAYOUT;PACK;BLK;SHD,layout\s*=\s*(\w+)|packing\s*=\s*(\d+\.?\d*)|blocking\s*=\s*(\d+\.?\d*),heliostat field|packing|blocking,thermal field,"layout enum, otros fractions","packing [0.1,0.5]",False,False,True,if packing out of range
CSP-040,es,receptor|tower_receiver|external,REC|EXT|CAV,-,receiver_datasheet|design_calc,receiver_data|mechanical,REC;EXT;CAV,receiver_type\s*=\s*(\w+)|height\s*=\s*(\d+\.?\d*)|diameter\s*=\s*(\d+\.?\d*),receiver|solar tower,thermal receiver,meters,in receiver range,False,False,True,if material not in list
CSP-041,es,receptor|tower_receiver|external,REC|EXT|CAV,m,receiver_datasheet|design_calc,receiver_data|mechanical,REC;EXT;CAV,receiver_type\s*=\s*(\w+)|height\s*=\s*(\d+\.?\d*)|diameter\s*=\s*(\d+\.?\d*),receiver|solar tower,thermal receiver,meters,in receiver range,False,False,True,if material not in list
CSP-042,es,receptor|tower_receiver|external,REC|EXT|CAV,m,receiver_datasheet|design_calc,receiver_data|mechanical,REC;EXT;CAV,receiver_type\s*=\s*(\w+)|height\s*=\s*(\d+\.?\d*)|diameter\s*=\s*(\d+\.?\d*),receiver|solar tower,thermal receiver,meters,in receiver range,False,False,True,if material not in list
CSP-043,es,receptor|tower_receiver|external,REC|EXT|CAV,bar,receiver_datasheet|design_calc,receiver_data|mechanical,REC;EXT;CAV,receiver_type\s*=\s*(\w+)|height\s*=\s*(\d+\.?\d*)|diameter\s*=\s*(\d+\.?\d*),receiver|solar tower,thermal receiver,meters,in receiver range,False,False,True,if material not in list
CSP-044,es,receptor|tower_receiver|external,REC|EXT|CAV,kW/m2,receiver_datasheet|design_calc,receiver_data|mechanical,REC;EXT;CAV,receiver_type\s*=\s*(\w+)|height\s*=\s*(\d+\.?\d*)|diameter\s*=\s*(\d+\.?\d*),receiver|solar tower,thermal receiver,meters,in receiver range,False,False,True,if material not in list
CSP-045,es,receptor|tower_receiver|external,REC|EXT|CAV,-,receiver_datasheet|design_calc,receiver_data|mechanical,REC;EXT;CAV,receiver_type\s*=\s*(\w+)|height\s*=\s*(\d+\.?\d*)|diameter\s*=\s*(\d+\.?\d*),receiver|solar tower,thermal receiver,meters,in receiver range,False,False,True,if material not in list
CSP-046,es,htf|fluido_transferencia|sal_fundida|aceite,HTF|SALT|OIL|SCO2,-,htf_datasheet|chemistry_report,htf_data|properties,HTF;SALT;OIL;SCO2,HTF\s*=\s*(\w+)|density\s*=\s*(\d+\.?\d*)|Cp\s*=\s*(\d+\.?\d*),HTF|heat transfer fluid|molten salt,thermal fluid generic,convert to SI,in HTF ranges,False,False,True,if HTF type unknown
CSP-047,es,htf|fluido_transferencia|sal_fundida|aceite,HTF|SALT|OIL|SCO2,kg/m3,htf_datasheet|chemistry_report,htf_data|properties,HTF;SALT;OIL;SCO2,HTF\s*=\s*(\w+)|density\s*=\s*(\d+\.?\d*)|Cp\s*=\s*(\d+\.?\d*),HTF|heat transfer fluid|molten salt,thermal fluid generic,convert to SI,in HTF ranges,False,False,True,if HTF type unknown
CSP-048,es,htf|fluido_transferencia|sal_fundida|aceite,HTF|SALT|OIL|SCO2,kJ/kgK,htf_datasheet|chemistry_report,htf_data|properties,HTF;SALT;OIL;SCO2,HTF\s*=\s*(\w+)|density\s*=\s*(\d+\.?\d*)|Cp\s*=\s*(\d+\.?\d*),HTF|heat transfer fluid|molten salt,thermal fluid generic,convert to SI,in HTF ranges,False,False,True,if HTF type unknown
CSP-049,es,htf|fluido_transferencia|sal_fundida|aceite,HTF|SALT|OIL|SCO2,cP,htf_datasheet|chemistry_report,htf_data|properties,HTF;SALT;OIL;SCO2,HTF\s*=\s*(\w+)|density\s*=\s*(\d+\.?\d*)|Cp\s*=\s*(\d+\.?\d*),HTF|heat transfer fluid|molten salt,thermal fluid generic,convert to SI,in HTF ranges,False,False,True,if HTF type unknown
CSP-050,es,htf|fluido_transferencia|sal_fundida|aceite,HTF|SALT|OIL|SCO2,degC,htf_datasheet|chemistry_report,htf_data|properties,HTF;SALT;OIL;SCO2,HTF\s*=\s*(\w+)|density\s*=\s*(\d+\.?\d*)|Cp\s*=\s*(\d+\.?\d*),HTF|heat transfer fluid|molten salt,thermal fluid generic,convert to SI,in HTF ranges,False,False,True,if HTF type unknown
CSP-051,es,temperatura_htf|t_hot|t_cold,TH|TC|TDEG,degC,process_design|htf_report,htf_temperature|operation,TH;TC;TDEG,T_hot\s*=\s*(\d+\.?\d*)|T_cold\s*=\s*(\d+\.?\d*)|T_deg\s*=\s*(\d+\.?\d*),HTF temperature|T hot|T cold,ambient temperature,convert to degC,in HTF operation range,False,False,True,if T_hot > degradation
CSP-052,es,temperatura_htf|t_hot|t_cold,TH|TC|TDEG,degC,process_design|htf_report,htf_temperature|operation,TH;TC;TDEG,T_hot\s*=\s*(\d+\.?\d*)|T_cold\s*=\s*(\d+\.?\d*)|T_deg\s*=\s*(\d+\.?\d*),HTF temperature|T hot|T cold,ambient temperature,convert to degC,in HTF operation range,False,False,True,if T_hot > degradation
CSP-053,es,temperatura_htf|t_hot|t_cold,TH|TC|TDEG,degC,process_design|htf_report,htf_temperature|operation,TH;TC;TDEG,T_hot\s*=\s*(\d+\.?\d*)|T_cold\s*=\s*(\d+\.?\d*)|T_deg\s*=\s*(\d+\.?\d*),HTF temperature|T hot|T cold,ambient temperature,convert to degC,in HTF operation range,False,False,True,if T_hot > degradation
CSP-054,es,tes|almacenamiento_termico|tanque_sal,TES|HOT|CLD|TCN,-,tes_design|nrel_tes_best_practices,tes_data|capacity,TES;HOT;CLD;TCN,TES_type\s*=\s*(\w+)|volume\s*=\s*(\d+\.?\d*)|hours\s*=\s*(\d+\.?\d*),TES|thermal energy storage|molten salt,electrical storage,SI units,"hours in [6,15]",False,False,True,if hours < 6
CSP-055,es,tes|almacenamiento_termico|tanque_sal,TES|HOT|CLD|TCN,m3,tes_design|nrel_tes_best_practices,tes_data|capacity,TES;HOT;CLD;TCN,TES_type\s*=\s*(\w+)|volume\s*=\s*(\d+\.?\d*)|hours\s*=\s*(\d+\.?\d*),TES|thermal energy storage|molten salt,electrical storage,SI units,"hours in [6,15]",False,False,True,if hours < 6
CSP-056,es,tes|almacenamiento_termico|tanque_sal,TES|HOT|CLD|TCN,m3,tes_design|nrel_tes_best_practices,tes_data|capacity,TES;HOT;CLD;TCN,TES_type\s*=\s*(\w+)|volume\s*=\s*(\d+\.?\d*)|hours\s*=\s*(\d+\.?\d*),TES|thermal energy storage|molten salt,electrical storage,SI units,"hours in [6,15]",False,False,True,if hours < 6
CSP-057,es,tes|almacenamiento_termico|tanque_sal,TES|HOT|CLD|TCN,kWh,tes_design|nrel_tes_best_practices,tes_data|capacity,TES;HOT;CLD;TCN,TES_type\s*=\s*(\w+)|volume\s*=\s*(\d+\.?\d*)|hours\s*=\s*(\d+\.?\d*),TES|thermal energy storage|molten salt,electrical storage,SI units,"hours in [6,15]",False,False,True,if hours < 6
CSP-058,es,tes|almacenamiento_termico|tanque_sal,TES|HOT|CLD|TCN,h,tes_design|nrel_tes_best_practices,tes_data|capacity,TES;HOT;CLD;TCN,TES_type\s*=\s*(\w+)|volume\s*=\s*(\d+\.?\d*)|hours\s*=\s*(\d+\.?\d*),TES|thermal energy storage|molten salt,electrical storage,SI units,"hours in [6,15]",False,False,True,if hours < 6
CSP-059,es,sg|generador_vapor|economizador|evap,SG|ECO|EVAP|SH|RH,MW,sg_datasheet|iso_15547,sg_data|duty,SG;ECO;EVAP;SH;RH,econ_duty\s*=\s*(\d+\.?\d*)|evap_duty\s*=\s*(\d+\.?\d*)|SH_duty\s*=\s*(\d+\.?\d*),steam generator|economizer|evaporator,HRSG generic,convert to MW,in SG range,False,False,True,if duty missing
CSP-060,es,sg|generador_vapor|economizador|evap,SG|ECO|EVAP|SH|RH,MW,sg_datasheet|iso_15547,sg_data|duty,SG;ECO;EVAP;SH;RH,econ_duty\s*=\s*(\d+\.?\d*)|evap_duty\s*=\s*(\d+\.?\d*)|SH_duty\s*=\s*(\d+\.?\d*),steam generator|economizer|evaporator,HRSG generic,convert to MW,in SG range,False,False,True,if duty missing
CSP-061,es,sg|generador_vapor|economizador|evap,SG|ECO|EVAP|SH|RH,MW,sg_datasheet|iso_15547,sg_data|duty,SG;ECO;EVAP;SH;RH,econ_duty\s*=\s*(\d+\.?\d*)|evap_duty\s*=\s*(\d+\.?\d*)|SH_duty\s*=\s*(\d+\.?\d*),steam generator|economizer|evaporator,HRSG generic,convert to MW,in SG range,False,False,True,if duty missing
CSP-062,es,sg|generador_vapor|economizador|evap,SG|ECO|EVAP|SH|RH,MW,sg_datasheet|iso_15547,sg_data|duty,SG;ECO;EVAP;SH;RH,econ_duty\s*=\s*(\d+\.?\d*)|evap_duty\s*=\s*(\d+\.?\d*)|SH_duty\s*=\s*(\d+\.?\d*),steam generator|economizer|evaporator,HRSG generic,convert to MW,in SG range,False,False,True,if duty missing
CSP-063,es,power_block|bloque_potencia|ciclo,PB|RANK|SCO2,-,power_block_design|cycle_calc,power_block|cycle,PB;RANK;SCO2,power_block_type\s*=\s*(\w+)|capacity\s*=\s*(\d+\.?\d*)|efficiency\s*=\s*(\d+\.?\d*),power block|cycle|Rankine|sCO2,thermal block generic,"MW, fraction",in cycle range,False,False,True,if efficiency < 0.35
CSP-064,es,power_block|bloque_potencia|ciclo,PB|RANK|SCO2,MW,power_block_design|cycle_calc,power_block|cycle,PB;RANK;SCO2,power_block_type\s*=\s*(\w+)|capacity\s*=\s*(\d+\.?\d*)|efficiency\s*=\s*(\d+\.?\d*),power block|cycle|Rankine|sCO2,thermal block generic,"MW, fraction",in cycle range,False,False,True,if efficiency < 0.35
CSP-065,es,power_block|bloque_potencia|ciclo,PB|RANK|SCO2,MW,power_block_design|cycle_calc,power_block|cycle,PB;RANK;SCO2,power_block_type\s*=\s*(\w+)|capacity\s*=\s*(\d+\.?\d*)|efficiency\s*=\s*(\d+\.?\d*),power block|cycle|Rankine|sCO2,thermal block generic,"MW, fraction",in cycle range,False,False,True,if efficiency < 0.35
CSP-066,es,turbina|vapor|sco2|brayton,TURB|RANK|SCO2,-,turbine_datasheet|acceptance_test,turbine_data|performance,TURB;RANK;SCO2,turbine_type\s*=\s*(\w+)|inlet_P\s*=\s*(\d+\.?\d*)|inlet_T\s*=\s*(\d+\.?\d*),turbine|Rankine|sCO2|Brayton,wind turbine,"bar, degC",in turbine range,False,False,True,if efficiency < 75
CSP-067,es,turbina|vapor|sco2|brayton,TURB|RANK|SCO2,bar,turbine_datasheet|acceptance_test,turbine_data|performance,TURB;RANK;SCO2,turbine_type\s*=\s*(\w+)|inlet_P\s*=\s*(\d+\.?\d*)|inlet_T\s*=\s*(\d+\.?\d*),turbine|Rankine|sCO2|Brayton,wind turbine,"bar, degC",in turbine range,False,False,True,if efficiency < 75
CSP-068,es,turbina|vapor|sco2|brayton,TURB|RANK|SCO2,degC,turbine_datasheet|acceptance_test,turbine_data|performance,TURB;RANK;SCO2,turbine_type\s*=\s*(\w+)|inlet_P\s*=\s*(\d+\.?\d*)|inlet_T\s*=\s*(\d+\.?\d*),turbine|Rankine|sCO2|Brayton,wind turbine,"bar, degC",in turbine range,False,False,True,if efficiency < 75
CSP-069,es,turbina|vapor|sco2|brayton,TURB|RANK|SCO2,%,turbine_datasheet|acceptance_test,turbine_data|performance,TURB;RANK;SCO2,turbine_type\s*=\s*(\w+)|inlet_P\s*=\s*(\d+\.?\d*)|inlet_T\s*=\s*(\d+\.?\d*),turbine|Rankine|sCO2|Brayton,wind turbine,"bar, degC",in turbine range,False,False,True,if efficiency < 75
