field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
CSP-011,solar_resource,ambient_temp_design_C,Temperatura ambiente de diseño (mínima para freeze protection),float,degC,"[-30,40]",-30,40,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Estudio meteorológico,T ambiente mínima para protección de congelamiento,CSP-C-024;CSP-C-023,CSP-DRW-007;CSP-DRW-008;CSP-DRW-009,true,PROCESS_ENGINEER,ASME_B31_1_2022;NIST_WEBBOOK;IAPWS_IF97;NREL_TES_CSP
CSP-012,solar_resource,ambient_temp_avg_C,Temperatura ambiente media anual del sitio,float,degC,"[5,35]",5,35,1,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,Estudio meteorológico,T ambiente promedio anual,CSP-C-021;CSP-C-022,CSP-DRW-001,false,PROCESS_ENGINEER,NSRDB_NREL;NREL_SAM_2024;ASTM_E891;ISO_9806
CSP-013,solar_resource,wind_speed_50y_ms,Velocidad de viento máxima (50 años) a 10 m,float,m/s,"[10,60]",10,60,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Estudio meteorológico / IEC 61400-1,V50 extremo para estructuras de heliostatos,CSP-C-028;CSP-C-029,CSP-DRW-003;CSP-DRW-005;CSP-DRW-006,true,STRUCTURAL_ENGINEER,ISO_19111;NASA_POWER;MINAM_DS_019_2009
CSP-014,solar_angles,hour_angle_deg,Ángulo horario solar para instante de evaluación,float,deg,"[-180,180]",-180,180,2,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,Cálculo solar (NREL SAM),HRA = 15*(LST-12),CSP-C-002;CSP-C-004;CSP-C-005,CSP-DRW-003;CSP-DRW-004,false,SOLAR_RESOURCE_ENGINEER,NREL_SAM_2024;ASTM_E891;ASHRAE_93
CSP-015,solar_angles,solar_zenith_deg,Ángulo cenital solar para instante de evaluación,float,deg,"[0,90]",0,90,2,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,Cálculo solar (NREL SAM),Zenith para cálculo coseno,CSP-C-004;CSP-C-005,CSP-DRW-003;CSP-DRW-004,false,SOLAR_RESOURCE_ENGINEER,NREL_SAM_2024;ASTM_E891;ASHRAE_93
CSP-016,solar_angles,solar_azimuth_deg,Azimut solar para instante de evaluación,float,deg,"[0,360]",0,360,2,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,Cálculo solar (NREL SAM),Azimut para orientación de heliostatos,CSP-C-028,CSP-DRW-003,false,SOLAR_RESOURCE_ENGINEER,NREL_SAM_2024;ASTM_E891;ASHRAE_93
CSP-017,solar_angles,air_mass_AM,Masa de aire (Air Mass) para instante de evaluación,float,-,"[1,40]",1,40,2,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,Cálculo solar,AM = 1/cos(zenith) approx,CSP-C-002,CSP-DRW-001,false,SOLAR_RESOURCE_ENGINEER,NREL_SAM_2024;ASTM_E891;ASHRAE_93
CSP-018,solar_angles,solar_declination_deg,Declinación solar para día de evaluación,float,deg,"[-23.45,23.45]",-23.45,23.45,2,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,Cálculo solar,Declinación por día del año,CSP-C-004,CSP-DRW-003,false,SOLAR_RESOURCE_ENGINEER,NREL_SAM_2024;ASTM_E891;ASHRAE_93
CSP-019,optical,cos_theta_factor,Factor coseno de incidencia para heliostato / collector,float,-,"[0.30,1.00]",0.3,1.0,4,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Análisis óptico (SolarPILOT/SAM),Coseno del ángulo de incidencia,CSP-C-004;CSP-C-010,CSP-DRW-003,true,OPTICAL_ENGINEER,NREL_SAM_2024;ISO_9806;ASHRAE_93;ASTM_C1549
CSP-020,optical,IAM_incidence_angle_modifier,Modificador de ángulo de incidencia (IAM),float,-,"[0.85,1.05]",0.85,1.05,4,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Curva IAM del fabricante del collector,IAM respecto a incidencia normal,CSP-C-005;CSP-C-010,CSP-DRW-004,true,OPTICAL_ENGINEER,NREL_SAM_2024;ISO_9806;ASHRAE_93;ASTM_C1549
CSP-021,optical,end_loss_factor,Factor de pérdidas por extremo (end-loss) en colectores lineales,float,-,"[0.50,1.00]",0.5,1.0,4,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,plant_type contains trough,true,Cálculo óptico del colector,End-loss en trough/Fresnel,CSP-C-010,CSP-DRW-004,false,OPTICAL_ENGINEER,NREL_SAM_2024;ISO_9806;ASHRAE_93;ASTM_C1549
CSP-022,optical,blocking_loss_pct,Pérdidas por bloqueo (blocking) en campo de heliostatos,float,%,"[0,30]",0,30,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Análisis óptico (SolarPILOT),Pérdidas por bloqueo entre heliostatos,CSP-C-006;CSP-C-010,CSP-DRW-003,true,OPTICAL_ENGINEER,NREL_SAM_2024;ISO_9806;ASHRAE_93;ASTM_C1549
CSP-023,optical,shading_loss_pct,Pérdidas por sombreado (shading) en campo de heliostatos,float,%,"[0,30]",0,30,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Análisis óptico SANDIA / SolarPILOT,Pérdidas por sombreado,CSP-C-007;CSP-C-010,CSP-DRW-003,true,OPTICAL_ENGINEER,NREL_SAM_2024;ISO_9806;ASHRAE_93;ASTM_C1549
CSP-024,optical,mirror_reflectance,Reflectancia especular del material del espejo,float,-,"[0.85,0.95]",0.85,0.95,4,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Hoja de datos del espejo (ASTM C1549),Reflectancia medida a 660 nm,CSP-C-010;CSP-C-025,CSP-DRW-003;CSP-DRW-004,true,OPTICAL_ENGINEER,NREL_SAM_2024;ISO_22975_1;ASTM_C1549;ISO_9806
CSP-025,optical,intercept_factor,Factor de interceptación del receptor (heliostato -> receptor),float,-,"[0.85,0.99]",0.85,0.99,4,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Análisis óptico (SolarPILOT),Fracción de flujo interceptada por receptor,CSP-C-008;CSP-C-010,CSP-DRW-003;CSP-DRW-006,true,OPTICAL_ENGINEER,NREL_SAM_2024;ISO_9806;ASHRAE_93;ASTM_C1549
CSP-026,optical,concentration_ratio_CR,Relación de concentración (concentration ratio) media,float,-,"[1,2000]",1,2000,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Cálculo óptico,CR = área de apertura / área de receptor,CSP-C-011;CSP-C-010,CSP-DRW-005;CSP-DRW-006,true,OPTICAL_ENGINEER,NREL_SAM_2024;ISO_9806;ASHRAE_93;ASTM_C1549
CSP-027,optical,soiling_loss_pct,Pérdidas por suciedad (soiling) en espejos,float,%,"[1,30]",1,30,2,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,Estudio de suciedad del sitio,Pérdidas por suciedad promedio anual,CSP-C-025;CSP-C-010,CSP-DRW-015,false,OPERATIONS_ENGINEER,MINAM_DS_019_2009;NREL_SAM_2024;ASTM_C1549
CSP-028,optical,tracking_error_mrad,Error de seguimiento (tracking error) del heliostato / collector,float,mrad,"[0.5,10]",0.5,10,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Hoja de datos del drive / controlador,Error angular RMS de seguimiento,CSP-C-008;CSP-C-010,CSP-DRW-003;CSP-DRW-004,true,OPTICAL_ENGINEER,NREL_SAM_2024;ISO_9806;ASHRAE_93;ASTM_C1549
CSP-029,heliostat,heliostat_aperture_area_m2,Área de apertura de un heliostato individual,float,m2,"[1,200]",1,200,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Hoja de datos del heliostato,Área reflectante útil,CSP-C-001;CSP-C-010;CSP-C-028,CSP-DRW-003,true,MECHANICAL_ENGINEER,NREL_SAM_2024;ISO_22975_1;ASTM_C1549;ISO_9806
CSP-030,heliostat,heliostat_height_m,Altura total del heliostato desplegado,float,m,"[2,15]",2,15,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Hoja de datos del heliostato,Altura total del módulo reflectante,CSP-C-028;CSP-C-029,CSP-DRW-003;CSP-DRW-005,true,MECHANICAL_ENGINEER,NREL_SAM_2024;ISO_22975_1;ASTM_C1549;ISO_9806
CSP-031,heliostat,heliostat_width_m,Ancho del heliostato desplegado,float,m,"[2,15]",2,15,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Hoja de datos del heliostato,Ancho del módulo reflectante,CSP-C-028;CSP-C-029,CSP-DRW-003,true,MECHANICAL_ENGINEER,NREL_SAM_2024;ISO_22975_1;ASTM_C1549;ISO_9806
CSP-032,heliostat,heliostat_reflectance,Reflectancia del espejo del heliostato,float,-,"[0.85,0.95]",0.85,0.95,4,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Hoja de datos del heliostato (ASTM C1549),Reflectancia especular,CSP-C-010;CSP-C-025,CSP-DRW-003,true,OPTICAL_ENGINEER,NREL_SAM_2024;ISO_22975_1;ASTM_C1549;ISO_9806
CSP-033,heliostat,heliostat_tracking_mode,Modo de seguimiento del heliostato,enum,-,"[2_axis_az_el,2_axis_target_aligned,fixed_polar]",,,,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Hoja de datos del heliostato,Modo de seguimiento 2 ejes,CSP-C-028,CSP-DRW-003;CSP-DRW-013,true,MECHANICAL_ENGINEER,NREL_SAM_2024;ISO_22975_1;ASTM_C1549;ISO_9806
CSP-034,heliostat_field,heliostat_field_layout_type,Tipo de layout del campo de heliostatos,enum,-,"[N-S_polar,radial_stagger,cornfield_north,surrounding_north]",,,,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Memoria de diseño del campo solar,Tipo de disposición geométrica,CSP-C-028;CSP-C-010,CSP-DRW-003,true,LEAD_PROCESS_ENGINEER,NREL_SAM_2024;NREL_TES_CSP;ASTM_C1549
CSP-035,heliostat_field,heliostat_packing_density,Densidad de empaquetamiento del campo de heliostatos,float,-,"[0.10,0.50]",0.1,0.5,3,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Memoria de diseño del campo solar,Área heliostatos / área total campo,CSP-C-028;CSP-C-029,CSP-DRW-003,true,LEAD_PROCESS_ENGINEER,NREL_SAM_2024;NREL_TES_CSP;ASTM_C1549
CSP-036,heliostat_field,heliostat_field_blocking_pct,Bloqueo total del campo de heliostatos (% anual),float,%,"[0,20]",0,20,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Análisis óptico (SolarPILOT),Bloqueo promedio anual,CSP-C-006;CSP-C-010,CSP-DRW-003,true,OPTICAL_ENGINEER,NREL_SAM_2024;NREL_TES_CSP;ASTM_C1549
CSP-037,heliostat_field,heliostat_field_shading_pct,Sombreado total del campo de heliostatos (% anual),float,%,"[0,20]",0,20,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Análisis óptico SANDIA / SolarPILOT,Sombreado promedio anual,CSP-C-007;CSP-C-010,CSP-DRW-003,true,OPTICAL_ENGINEER,NREL_SAM_2024;NREL_TES_CSP;ASTM_C1549
CSP-038,heliostat_field,heliostat_field_cosine_eff,Eficiencia coseno promedio anual del campo de heliostatos,float,-,"[0.55,0.85]",0.55,0.85,4,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Análisis óptico (SolarPILOT),Eficiencia coseno media anual,CSP-C-004;CSP-C-010,CSP-DRW-003,true,OPTICAL_ENGINEER,NREL_SAM_2024;NREL_TES_CSP;ASTM_C1549
CSP-039,heliostat_field,heliostat_field_spillage_pct,Spillage (derrame) total del campo (% anual),float,%,"[1,15]",1,15,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,plant_type contains tower,true,Análisis óptico (SolarPILOT),Spillage promedio anual,CSP-C-009;CSP-C-010,CSP-DRW-003;CSP-DRW-005,true,OPTICAL_ENGINEER,NREL_SAM_2024;NREL_TES_CSP;ASTM_C1549
CSP-040,receiver,receiver_type,Tipo de receptor solar,enum,-,"[cylindrical_external,cavity,volumetric,tubular,planar]",,,,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Memoria de diseño del receptor,Tipo según tecnología (tower/trough),CSP-C-016;CSP-C-010,CSP-DRW-005;CSP-DRW-006,true,LEAD_PROCESS_ENGINEER,ASME_BPVC_VIII_1_2023;ISO_9806;NREL_TES_CSP;IAPWS_IF97
CSP-041,receiver,receiver_height_m,Altura del receptor solar (tower) o longitud (HCE),float,m,"[1,30]",1,30,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Hoja de datos del receptor,Altura activa del receptor,CSP-C-016;CSP-C-011,CSP-DRW-005;CSP-DRW-006,true,MECHANICAL_ENGINEER,ASME_BPVC_VIII_1_2023;ISO_9806;NREL_TES_CSP;IAPWS_IF97
CSP-042,receiver,receiver_diameter_m,Diámetro del receptor solar (external / cavity),float,m,"[0.5,20]",0.5,20,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Hoja de datos del receptor,Diámetro externo,CSP-C-011;CSP-C-016,CSP-DRW-005;CSP-DRW-006,true,MECHANICAL_ENGINEER,ASME_BPVC_VIII_1_2023;ISO_9806;NREL_TES_CSP;IAPWS_IF97
CSP-043,receiver,receiver_design_pressure_bar,Presión de diseño del receptor (ASME BPVC VIII-1),float,bar,"[1,200]",1,200,1,PROHIBITED_TO_ASSUME,DETAILED_ENGINEERING,true,true,Hoja de datos del receptor,Presión de diseño interna,CSP-C-032,CSP-DRW-005;CSP-DRW-006;CSP-DRW-007,true,MECHANICAL_ENGINEER,ASME_BPVC_VIII_1_2023;ISO_9806;NREL_TES_CSP;IAPWS_IF97
CSP-044,receiver,receiver_thermal_loss_kW_m2,Pérdida térmica específica del receptor,float,kW/m2,"[0.05,5.0]",0.05,5.0,3,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Hoja de datos del receptor,Pérdida total (rad+conv+cond) por área,CSP-C-016;CSP-C-010,CSP-DRW-005;CSP-DRW-006,true,PROCESS_ENGINEER,ASME_BPVC_VIII_1_2023;ISO_9806;NREL_TES_CSP;IAPWS_IF97
CSP-045,receiver,receiver_material,Material del tubo / superficie del receptor,enum,-,"[Inconel_625,Incoloy_800H,SS_316L,Haynes_230,Pyromark]",,,,PROHIBITED_TO_ASSUME,DETAILED_ENGINEERING,true,true,Especificación mecánica del receptor,Material compatible con HTF y T,CSP-C-016,CSP-DRW-005;CSP-DRW-006,true,MATERIAL_ENGINEER,ASME_BPVC_VIII_1_2023;ISO_9806;NREL_TES_CSP;IAPWS_IF97
CSP-046,htf,HTF_type,Tipo de fluido de transferencia de calor (HTF),enum,-,"[synthetic_oil_dowtherm_a,molten_salt_60NaNO3_40KNO3,sodium,steam,sCO2]",,,,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Memoria de diseño del HTF,Tipo según T de operación,CSP-C-012;CSP-C-013;CSP-C-024,CSP-DRW-007;CSP-DRW-008;CSP-DRW-009,true,LEAD_PROCESS_ENGINEER,ASME_B31_1_2022;NIST_WEBBOOK;IAPWS_IF97;NREL_TES_CSP
CSP-047,htf,HTF_density_kg_m3,Densidad del HTF a temperatura de operación,float,kg/m3,"[100,2000]",100,2000,1,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,NIST Webbook / hoja de datos del HTF,Densidad según T y composición,CSP-C-012;CSP-C-031,CSP-DRW-007,false,PROCESS_ENGINEER,ASME_B31_1_2022;NIST_WEBBOOK;IAPWS_IF97;NREL_TES_CSP
CSP-048,htf,HTF_specific_heat_kJ_kgK,Calor específico del HTF,float,kJ/kgK,"[0.8,3.5]",0.8,3.5,3,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,NIST Webbook / hoja de datos del HTF,Cp según T y composición,CSP-C-012;CSP-C-013;CSP-C-014,CSP-DRW-007,false,PROCESS_ENGINEER,ASME_B31_1_2022;NIST_WEBBOOK;IAPWS_IF97;NREL_TES_CSP
CSP-049,htf,HTF_viscosity_cP,Viscosidad dinámica del HTF a T de operación,float,cP,"[0.1,100]",0.1,100,3,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,NIST Webbook / hoja de datos del HTF,Viscosidad según T,CSP-C-031,CSP-DRW-007,false,PROCESS_ENGINEER,ASME_B31_1_2022;NIST_WEBBOOK;IAPWS_IF97;NREL_TES_CSP
CSP-050,htf,HTF_freeze_point_C,Punto de congelamiento del HTF (sal o sCO2),float,degC,"[-100,250]",-100,250,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,HTF_type contains salt,true,Hoja de datos del HTF,T de solidificación (sal: 238 C),CSP-C-024,CSP-DRW-008;CSP-DRW-009,true,PROCESS_ENGINEER,ASME_B31_1_2022;NIST_WEBBOOK;NREL_TES_CSP
CSP-051,htf_temp,HTF_cold_tank_temp_C,Temperatura del HTF en el tanque frío (T cold),float,degC,"[200,400]",200,400,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Memoria de diseño del HTF,Sal: 290 C; oil: 290 C; sCO2: 35 C,CSP-C-012;CSP-C-013;CSP-C-014;CSP-C-024,CSP-DRW-007;CSP-DRW-008;CSP-DRW-009,true,PROCESS_ENGINEER,ASME_B31_1_2022;NIST_WEBBOOK;NREL_TES_CSP
CSP-052,htf_temp,HTF_hot_tank_temp_C,Temperatura del HTF en el tanque caliente (T hot),float,degC,"[300,650]",300,650,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Memoria de diseño del HTF,Sal: 565 C; oil: 395 C; sCO2: 600+ C,CSP-C-012;CSP-C-013;CSP-C-014,CSP-DRW-007;CSP-DRW-008;CSP-DRW-009,true,PROCESS_ENGINEER,ASME_B31_1_2022;NIST_WEBBOOK;NREL_TES_CSP
CSP-053,htf_temp,HTF_degradation_temp_C,Temperatura de degradación térmica del HTF,float,degC,"[300,650]",300,650,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Hoja de datos del HTF,T máxima del HTF (oil: 400; sal: 600),CSP-C-012;CSP-C-024,CSP-DRW-008,true,PROCESS_ENGINEER,ASME_B31_1_2022;NIST_WEBBOOK;NREL_TES_CSP
CSP-054,tes,TES_type,Tipo de almacenamiento térmico (TES),enum,-,"[direct_2_tank_molten_salt,thermocline,packed_bed,PCM,sCO2_thermocline]",,,,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Memoria de diseño del TES,Tipo según HTF y capacidad,CSP-C-014;CSP-C-015,CSP-DRW-009,true,LEAD_PROCESS_ENGINEER,ASME_BPVC_VIII_1_2023;NREL_TES_CSP;NREL_SAM_2024
CSP-055,tes,TES_hot_tank_volume_m3,Volumen del tanque caliente de TES,float,m3,"[100,50000]",100,50000,1,PROHIBITED_TO_ASSUME,DETAILED_ENGINEERING,true,true,Memoria de diseño del TES,Volumen según horas de almacenamiento,CSP-C-014,CSP-DRW-009,true,MECHANICAL_ENGINEER,ASME_BPVC_VIII_1_2023;NREL_TES_CSP;NREL_SAM_2024
CSP-056,tes,TES_cold_tank_volume_m3,Volumen del tanque frío de TES,float,m3,"[100,50000]",100,50000,1,PROHIBITED_TO_ASSUME,DETAILED_ENGINEERING,true,true,Memoria de diseño del TES,Volumen simétrico al hot tank,CSP-C-014,CSP-DRW-009,true,MECHANICAL_ENGINEER,ASME_BPVC_VIII_1_2023;NREL_TES_CSP;NREL_SAM_2024
CSP-057,tes,TES_capacity_kWh_th,Capacidad térmica del TES (kWh térmicos),float,kWh,"[1000,10000000]",1000,10000000,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Cálculo de TES,Energía almacenada,CSP-C-014,CSP-DRW-009,true,PROCESS_ENGINEER,ASME_BPVC_VIII_1_2023;NREL_TES_CSP;NREL_SAM_2024
CSP-058,tes,TES_hours_full_load,Horas de almacenamiento a plena carga del TES,float,h,"[3,18]",3,18,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Memoria de diseño del TES,Horas típicas: 6-15 h,CSP-C-015,CSP-DRW-009,true,LEAD_PROCESS_ENGINEER,ASME_BPVC_VIII_1_2023;NREL_TES_CSP;NREL_SAM_2024
CSP-059,steam_generator,SG_economizer_duty_MW,Duty del economizador del generador de vapor,float,MW,"[1,500]",1,500,1,PROHIBITED_TO_ASSUME,DETAILED_ENGINEERING,true,true,Memoria de diseño del SG (ISO 15547-1),Duty térmico del economizador,CSP-C-017,CSP-DRW-010,true,PROCESS_ENGINEER,ISO_15547_1;ASME_BPVC_VIII_1_2023;IAPWS_IF97
CSP-060,steam_generator,SG_evaporator_duty_MW,Duty del evaporador del generador de vapor,float,MW,"[5,800]",5,800,1,PROHIBITED_TO_ASSUME,DETAILED_ENGINEERING,true,true,Memoria de diseño del SG (ISO 15547-1),Duty térmico del evaporador,CSP-C-017,CSP-DRW-010,true,PROCESS_ENGINEER,ISO_15547_1;ASME_BPVC_VIII_1_2023;IAPWS_IF97
CSP-061,steam_generator,SG_superheater_duty_MW,Duty del superheater del generador de vapor,float,MW,"[1,300]",1,300,1,PROHIBITED_TO_ASSUME,DETAILED_ENGINEERING,true,true,Memoria de diseño del SG,Duty térmico del superheater,CSP-C-017,CSP-DRW-010,true,PROCESS_ENGINEER,ISO_15547_1;ASME_BPVC_VIII_1_2023;IAPWS_IF97
CSP-062,steam_generator,SG_reheater_duty_MW,Duty del reheater del generador de vapor,float,MW,"[0,200]",0,200,1,TECHNOLOGY_MANDATORY,DETAILED_ENGINEERING,plant_type contains reheat,true,Memoria de diseño del SG,Duty térmico del reheater (ciclo con reheat),CSP-C-019,CSP-DRW-010,false,PROCESS_ENGINEER,ISO_15547_1;ASME_BPVC_VIII_1_2023;IAPWS_IF97
CSP-063,power_block,power_block_type,Tipo de bloque de potencia,enum,-,"[Rankine_conventional,Rankine_supercritical,sCO2_Brayton]",,,,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Memoria de diseño del power block,Tipo según HTF y capacidad,CSP-C-017;CSP-C-018;CSP-C-019,CSP-DRW-010;CSP-DRW-011,true,LEAD_PROCESS_ENGINEER,ASME_PTC_10;IAPWS_IF97;ISO_1940_1
CSP-064,power_block,plant_capacity_MW_net,Capacidad neta de la planta CSP (MW),float,MW,"[1,500]",1,500,1,PROJECT_MANDATORY,FEASIBILITY,true,true,Estudio de prefactibilidad,MW netos exportables,CSP-C-001;CSP-C-030;CSP-C-017,CSP-DRW-001;CSP-DRW-011,true,LEAD_PROCESS_ENGINEER,ASME_PTC_10;IAPWS_IF97;ISO_1940_1
CSP-065,power_block,plant_capacity_MW_gross,Capacidad bruta de la planta CSP (MW),float,MW,"[1,500]",1,500,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,true,Estudio de prefactibilidad,MW brutos del generador,CSP-C-017;CSP-C-018,CSP-DRW-011,true,LEAD_PROCESS_ENGINEER,ASME_PTC_10;IAPWS_IF97;ISO_1940_1
