field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
PVF-011,es;en,normal water level m,,m_a.s.l.,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,normal_water_level_m,regex:([0-9]+\.?[0-9]*)\s*m_a.s.l.,normal_water_level_m;Stage-duration curve 50% exceedance,not applicable;assumed;estimated,value in valid range,value between -100 and 5000,false,false,false,review if outlier
PVF-012,es;en,maximum water level m,,m_a.s.l.,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,maximum_water_level_m,regex:([0-9]+\.?[0-9]*)\s*m_a.s.l.,maximum_water_level_m;Design flood stage (1% AEP),not applicable;assumed;estimated,value in valid range,value between -100 and 5000,false,false,false,review if outlier
PVF-013,es;en,minimum water level m,,m_a.s.l.,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,minimum_water_level_m,regex:([0-9]+\.?[0-9]*)\s*m_a.s.l.,minimum_water_level_m;Lowest operating stage,not applicable;assumed;estimated,value in valid range,value between -100 and 5000,false,false,false,review if outlier
PVF-014,es;en,significant wave height m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,significant_wave_height_m,regex:([0-9]+\.?[0-9]*)\s*m,significant_wave_height_m;Spectral wave analysis Hs,not applicable;assumed;estimated,value in valid range,value between 0.05 and 3.0,false,false,false,review if outlier
PVF-015,es;en,wave period s,,s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,wave_period_s,regex:([0-9]+\.?[0-9]*)\s*s,wave_period_s;Spectral analysis peak period,not applicable;assumed;estimated,value in valid range,value between 1.0 and 15.0,false,false,false,review if outlier
PVF-016,es;en,wind fetch km,,km,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,wind_fetch_km,regex:([0-9]+\.?[0-9]*)\s*km,wind_fetch_km;GIS distance to opposite shoreline,not applicable;assumed;estimated,value in valid range,value between 0.1 and 100,false,false,false,review if outlier
PVF-017,es;en,design wind speed ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,design_wind_speed_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,design_wind_speed_ms;Extreme wind analysis,not applicable;assumed;estimated,value in valid range,value between 5 and 75,false,false,false,review if outlier
PVF-018,es;en,wind direction dominant deg,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,wind_direction_dominant_deg,regex:([0-9]+\.?[0-9]*)\s*deg,wind_direction_dominant_deg;Wind rose analysis,not applicable;assumed;estimated,value in valid range,value between 0 and 360,false,false,false,review if outlier
PVF-019,es;en,surface current speed ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,surface_current_speed_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,surface_current_speed_ms;ADCP measurement; hydrodynamic model,not applicable;assumed;estimated,value in valid range,value between 0 and 3,false,false,false,review if outlier
PVF-020,es;en,current direction deg,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,current_direction_deg,regex:([0-9]+\.?[0-9]*)\s*deg,current_direction_deg;Current rose,not applicable;assumed;estimated,value in valid range,value between 0 and 360,false,false,false,review if outlier
PVF-021,es;en,water salinity ppt,,ppt,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,water_salinity_ppt,regex:([0-9]+\.?[0-9]*)\s*ppt,water_salinity_ppt;Conductivity probe CTD; lab analysis,not applicable;assumed;estimated,value in valid range,value between 0 and 45,false,false,false,review if outlier
PVF-022,es;en,water ph,,pH,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,water_ph,regex:([0-9]+\.?[0-9]*)\s*pH,water_ph;pH meter ISO 6107-1,not applicable;assumed;estimated,value in valid range,value between 3 and 11,false,false,false,review if outlier
PVF-023,es;en,chloride concentration mg l,,mg/L,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,chloride_concentration_mg_l,regex:([0-9]+\.?[0-9]*)\s*mg/L,chloride_concentration_mg_l;Lab analysis ASTM D512 equivalent,not applicable;assumed;estimated,value in valid range,value between 0 and 30000,false,false,false,review if outlier
PVF-024,es;en,sulfate concentration mg l,,mg/L,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,sulfate_concentration_mg_l,regex:([0-9]+\.?[0-9]*)\s*mg/L,sulfate_concentration_mg_l;Lab analysis ISO 6107-1,not applicable;assumed;estimated,value in valid range,value between 0 and 5000,false,false,false,review if outlier
PVF-025,es;en,dissolved oxygen mg l,,mg/L,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,dissolved_oxygen_mg_l,regex:([0-9]+\.?[0-9]*)\s*mg/L,dissolved_oxygen_mg_l;DO meter ISO 6107-1,not applicable;assumed;estimated,value in valid range,value between 0 and 15,false,false,false,review if outlier
PVF-026,es;en,ice thickness max mm,,mm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,ice_thickness_max_mm,regex:([0-9]+\.?[0-9]*)\s*mm,ice_thickness_max_mm;Local ice records; CTD freeze,not applicable;assumed;estimated,value in valid range,value between 0 and 1500,false,false,false,review if outlier
PVF-027,es;en,ice period days year,,days/year,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,ice_period_days_year,regex:([0-9]+\.?[0-9]*)\s*days/year,ice_period_days_year;Local ice records,not applicable;assumed;estimated,value in valid range,value between 0 and 365,false,false,false,review if outlier
PVF-028,es;en,navigation channel present,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,navigation_channel_present,,navigation_channel_present;Navigation chart review,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-029,es;en,navigation exclusion zone m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,navigation_exclusion_zone_m,regex:([0-9]+\.?[0-9]*)\s*m,navigation_exclusion_zone_m;Exclusion buffer polygon,not applicable;assumed;estimated,value in valid range,value between 5 and 500,false,false,false,review if outlier
PVF-030,es;en,onshore anchor zone available m2,,m2,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,onshore_anchor_zone_available_m2,regex:([0-9]+\.?[0-9]*)\s*m2,onshore_anchor_zone_available_m2;GIS polygon available shore zone,not applicable;assumed;estimated,value in valid range,value between 10 and 10000,false,false,false,review if outlier
PVF-031,es;en,onshore anchor geotechnical capacity kN,,kN,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,onshore_anchor_geotechnical_capacity_kN,regex:([0-9]+\.?[0-9]*)\s*kN,onshore_anchor_geotechnical_capacity_kN;Plate load test; SPT,not applicable;assumed;estimated,value in valid range,value between 5 and 5000,false,false,false,review if outlier
PVF-032,es;en,mooring system type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_system_type,,mooring_system_type;Engineering decision matrix,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-033,es;en,mooring line pretension kN,,kN,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_line_pretension_kN,regex:([0-9]+\.?[0-9]*)\s*kN,mooring_line_pretension_kN;Pretensioning plan DNV-OS-E301,not applicable;assumed;estimated,value in valid range,value between 0 and 200,false,false,false,review if outlier
PVF-034,es;en,mooring line material,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_line_material,,mooring_line_material;Manufacturer certificate,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-035,es;en,float material,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,float_material,,float_material;Manufacturer certificate of conformity,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-036,es;en,float buoyancy kN,,kN,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,float_buoyancy_kN,regex:([0-9]+\.?[0-9]*)\s*kN,float_buoyancy_kN;Buoyancy certificate DNV-OS-C101,not applicable;assumed;estimated,value in valid range,value between 0.1 and 20,false,false,false,review if outlier
PVF-037,es;en,float service life years,,years,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,float_service_life_years,regex:([0-9]+\.?[0-9]*)\s*years,float_service_life_years;UV + salt spray test report,not applicable;assumed;estimated,value in valid range,value between 5 and 30,false,false,false,review if outlier
PVF-038,es;en,float freeboard design mm,,mm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,float_freeboard_design_mm,regex:([0-9]+\.?[0-9]*)\s*mm,float_freeboard_design_mm;Loaded freeboard from buoyancy calc,not applicable;assumed;estimated,value in valid range,value between 50 and 500,false,false,false,review if outlier
PVF-039,es;en,pv module type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,pv_module_type,,pv_module_type;Datasheet; IEC 62938 bifacial,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-040,es;en,pv module power stc W,,W,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,pv_module_power_stc_W,regex:([0-9]+\.?[0-9]*)\s*W,pv_module_power_stc_W;STC flash test IEC 60904-1,not applicable;assumed;estimated,value in valid range,value between 100 and 700,false,false,false,review if outlier
PVF-041,es;en,string module count,,modules,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,string_module_count,regex:([0-9]+\.?[0-9]*)\s*modules,string_module_count;Voltage-temperature calculation,not applicable;assumed;estimated,value in valid range,value between 8 and 40,false,false,false,review if outlier
PVF-042,es;en,string voltage max V,,V_DC,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,string_voltage_max_V,regex:([0-9]+\.?[0-9]*)\s*V_DC,string_voltage_max_V;Voc * module count * temp coefficient,not applicable;assumed;estimated,value in valid range,value between 100 and 1500,false,false,false,review if outlier
PVF-043,es;en,mppt channels count,,channels,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mppt_channels_count,regex:([0-9]+\.?[0-9]*)\s*channels,mppt_channels_count;Datasheet IEC 62817,not applicable;assumed;estimated,value in valid range,value between 1 and 20,false,false,false,review if outlier
PVF-044,es;en,inverter topology,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,inverter_topology,,inverter_topology;Topology decision matrix,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-045,es;en,inverter location,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,inverter_location,,inverter_location;Geotechnical + maintenance access,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-046,es;en,dc cable route type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,dc_cable_route_type,,dc_cable_route_type;Route alignment report,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-047,es;en,ac cable route type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,ac_cable_route_type,,ac_cable_route_type;Route alignment report,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-048,es;en,transformer location,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,transformer_location,,transformer_location;Siting decision matrix,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-049,es;en,mooring line diameter mm,,mm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_line_diameter_mm,regex:([0-9]+\.?[0-9]*)\s*mm,mooring_line_diameter_mm;Manufacturer catalog,not applicable;assumed;estimated,value in valid range,value between 5 and 200,false,false,false,review if outlier
PVF-050,es;en,mooring line breaking load kN,,kN,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_line_breaking_load_kN,regex:([0-9]+\.?[0-9]*)\s*kN,mooring_line_breaking_load_kN;MBL certificate,not applicable;assumed;estimated,value in valid range,value between 10 and 5000,false,false,false,review if outlier
PVF-051,es;en,mooring line safety factor,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_line_safety_factor,,mooring_line_safety_factor;Calculated from tension / MBL,not applicable;assumed;estimated,value in valid range,value between 1.5 and 5,false,false,false,review if outlier
PVF-052,es;en,anchor type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anchor_type,,anchor_type;Anchor selection matrix,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-053,es;en,anchor holding capacity kN,,kN,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anchor_holding_capacity_kN,regex:([0-9]+\.?[0-9]*)\s*kN,anchor_holding_capacity_kN;Pull test; geotechnical calculation,not applicable;assumed;estimated,value in valid range,value between 5 and 5000,false,false,false,review if outlier
PVF-054,es;en,walkway width mm,,mm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,walkway_width_mm,regex:([0-9]+\.?[0-9]*)\s*mm,walkway_width_mm;ISO 5455 walkway dimensions,not applicable;assumed;estimated,value in valid range,value between 600 and 2000,false,false,false,review if outlier
PVF-055,es;en,life jacket stations count,,stations,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,life_jacket_stations_count,regex:([0-9]+\.?[0-9]*)\s*stations,life_jacket_stations_count;HSE compliance plan,not applicable;assumed;estimated,value in valid range,value between 1 and 50,false,false,false,review if outlier
PVF-056,es;en,navigation lights count,,lights,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,navigation_lights_count,regex:([0-9]+\.?[0-9]*)\s*lights,navigation_lights_count;Compliance with COLREG / IALA,not applicable;assumed;estimated,value in valid range,value between 4 and 100,false,false,false,review if outlier
PVF-057,es;en,emergency egress routes count,,routes,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,emergency_egress_routes_count,regex:([0-9]+\.?[0-9]*)\s*routes,emergency_egress_routes_count;Emergency egress drawing,not applicable;assumed;estimated,value in valid range,value between 2 and 20,false,false,false,review if outlier
PVF-058,es;en,fish impact assessment status,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,fish_impact_assessment_status,,fish_impact_assessment_status;EIA approval certificate,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-059,es;en,algal growth risk level,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,algal_growth_risk_level,,algal_growth_risk_level;Chlorophyll-a sampling,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-060,es;en,evaporation reduction target pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,evaporation_reduction_target_pct,regex:([0-9]+\.?[0-9]*)\s*%,evaporation_reduction_target_pct;Coverage ratio * pan evap factor,not applicable;assumed;estimated,value in valid range,value between 0 and 95,false,false,false,review if outlier
PVF-061,es;en,albedo surface value,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,albedo_surface_value,,albedo_surface_value;Pyranometer reflected / global,not applicable;assumed;estimated,value in valid range,value between 0.05 and 0.85,false,false,false,review if outlier
PVF-062,es;en,pv cell temperature water C,,C,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,pv_cell_temperature_water_C,regex:([0-9]+\.?[0-9]*)\s*C,pv_cell_temperature_water_C;PV cooling model NREL SAM 2024,not applicable;assumed;estimated,value in valid range,value between 0 and 85,false,false,false,review if outlier
PVF-063,es;en,water cooling effect pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,water_cooling_effect_pct,regex:([0-9]+\.?[0-9]*)\s*%,water_cooling_effect_pct;NREL SAM yield delta,not applicable;assumed;estimated,value in valid range,value between 0 and 15,false,false,false,review if outlier
PVF-064,es;en,array layout pitch m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,array_layout_pitch_m,regex:([0-9]+\.?[0-9]*)\s*m,array_layout_pitch_m;Pitch from shading study,not applicable;assumed;estimated,value in valid range,value between 1.5 and 15,false,false,false,review if outlier
PVF-065,es;en,module tilt angle deg,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,module_tilt_angle_deg,regex:([0-9]+\.?[0-9]*)\s*deg,module_tilt_angle_deg;Optimal tilt for site latitude,not applicable;assumed;estimated,value in valid range,value between 0 and 35,false,false,false,review if outlier
PVF-066,es;en,array spacing m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,array_spacing_m,regex:([0-9]+\.?[0-9]*)\s*m,array_spacing_m;Maintenance + shading buffer,not applicable;assumed;estimated,value in valid range,value between 0.5 and 20,false,false,false,review if outlier
PVF-067,es;en,dc system voltage max V,,V_DC,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,dc_system_voltage_max_V,regex:([0-9]+\.?[0-9]*)\s*V_DC,dc_system_voltage_max_V;Selected per inverter + IEC 62548,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-068,es;en,grounding resistance ohm,,ohm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,grounding_resistance_ohm,regex:([0-9]+\.?[0-9]*)\s*ohm,grounding_resistance_ohm;Soil resistivity Wenner method,not applicable;assumed;estimated,value in valid range,value between 0.1 and 25,false,false,false,review if outlier
PVF-069,es;en,cathodic protection current A,,A,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,cathodic_protection_current_A,regex:([0-9]+\.?[0-9]*)\s*A,cathodic_protection_current_A;CP design report,not applicable;assumed;estimated,value in valid range,value between 0 and 100,false,false,false,review if outlier
PVF-070,es;en,corrosion protection method,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,corrosion_protection_method,,corrosion_protection_method;CP design decision matrix,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
