field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
HYD-017,es,ecological_flow_m3s,,m3/s,hydrological_study|sediment_study,hydrology,ecological_flow_m3s,ecological_flow_m3s\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.001,"in [0, 5000]",False,False,True,"check value in [0, 5000]; cross-check with HYD-C-006"
HYD-018,es,design_flood_Q100_m3s,,m3/s,hydrological_study|sediment_study,hydrology,design_flood_Q100_m3s,design_flood_Q100_m3s\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.1,"in [0, 100000]",False,False,True,"check value in [0, 100000]; cross-check with HYD-C-001;HYD-C-002"
HYD-019,es,design_flood_Q1000_m3s,,m3/s,hydrological_study|sediment_study,hydrology,design_flood_Q1000_m3s,design_flood_Q1000_m3s\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.1,"in [0, 100000]",False,False,True,"check value in [0, 100000]; cross-check with HYD-C-001;HYD-C-002"
HYD-020,es,design_flood_Q10000_m3s,,m3/s,hydrological_study|sediment_study,hydrology,design_flood_Q10000_m3s,design_flood_Q10000_m3s\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.1,"in [0, 200000]",False,False,True,"check value in [0, 200000]; cross-check with HYD-C-001;HYD-C-003"
HYD-021,es,probable_maximum_flood_m3s,,m3/s,hydrological_study|sediment_study,hydrology,probable_maximum_flood_m3s,probable_maximum_flood_m3s\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.1,"in [0, 500000]",False,False,True,"check value in [0, 500000]; cross-check with HYD-C-003"
HYD-022,es,sediment_concentration_mg_L,,mg/L,hydrological_study|sediment_study,hydrology,sediment_concentration_mg_L,sediment_concentration_mg_L\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.1,"in [0, 50000]",False,False,True,"check value in [0, 50000]; cross-check with HYD-C-007;HYD-C-008"
HYD-023,es,sediment_load_ton_year,,t/year,hydrological_study|sediment_study,hydrology,sediment_load_ton_year,sediment_load_ton_year\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 1,"in [0, 1000000]",False,False,True,"check value in [0, 1000000]; cross-check with HYD-C-007"
HYD-024,es,sediment_d50_mm,,mm,hydrological_study|sediment_study,hydrology,sediment_d50_mm,sediment_d50_mm\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.001,"in [0.001, 500]",False,False,True,"check value in [0.001, 500]; cross-check with HYD-C-007;HYD-C-008"
HYD-030,es,gross_head_m,,m,hydraulic_calc|hydrological_study,hydraulics,gross_head_m,gross_head_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.01,"in [0, 2000]",False,False,True,"check value in [0, 2000]; cross-check with HYD-C-009;HYD-C-010"
HYD-031,es,net_head_m,,m,hydraulic_calc|hydrological_study,hydraulics,net_head_m,net_head_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.01,"in [0, 2000]",False,False,True,"check value in [0, 2000]; cross-check with HYD-C-009;HYD-C-010;HYD-C-011"
HYD-032,es,total_head_loss_m,,m,hydraulic_calc|hydrological_study,hydraulics,total_head_loss_m,total_head_loss_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.001,"in [0, 200]",False,False,True,"check value in [0, 200]; cross-check with HYD-C-011;HYD-C-012"
HYD-033,es,friction_head_loss_m,,m,hydraulic_calc|hydrological_study,hydraulics,friction_head_loss_m,friction_head_loss_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.001,"in [0, 150]",False,False,True,"check value in [0, 150]; cross-check with HYD-C-011;HYD-C-012"
HYD-034,es,entrance_head_loss_m,,m,hydraulic_calc|hydrological_study,hydraulics,entrance_head_loss_m,entrance_head_loss_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.001,"in [0, 5]",False,False,True,"check value in [0, 5]; cross-check with HYD-C-011"
HYD-035,es,exit_head_loss_m,,m,hydraulic_calc|hydrological_study,hydraulics,exit_head_loss_m,exit_head_loss_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.001,"in [0, 5]",False,False,True,"check value in [0, 5]; cross-check with HYD-C-011"
HYD-036,es,bends_head_loss_m,,m,hydraulic_calc|hydrological_study,hydraulics,bends_head_loss_m,bends_head_loss_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.001,"in [0, 20]",False,False,True,"check value in [0, 20]; cross-check with HYD-C-011"
HYD-037,es,valves_head_loss_m,,m,hydraulic_calc|hydrological_study,hydraulics,valves_head_loss_m,valves_head_loss_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.001,"in [0, 10]",False,False,True,"check value in [0, 10]; cross-check with HYD-C-011"
HYD-038,es,tailwater_level_design_m,,m,hydraulic_calc|hydrological_study,hydraulics,tailwater_level_design_m,tailwater_level_design_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.001,"in [0, 5000]",False,False,True,"check value in [0, 5000]; cross-check with HYD-C-009;HYD-C-022"
HYD-039,es,normal_pool_level_m,,m,hydraulic_calc|hydrological_study,hydraulics,normal_pool_level_m,normal_pool_level_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.001,"in [0, 5000]",False,False,True,"check value in [0, 5000]; cross-check with HYD-C-009;HYD-C-022"
HYD-040,es,maximum_pool_level_m,,m,hydraulic_calc|hydrological_study,hydraulics,maximum_pool_level_m,maximum_pool_level_m\s*[=:]?\s*([0-9.+-eE]+),hydraulics,n/a; out of range,keep precision 0.001,"in [0, 5000]",False,False,True,"check value in [0, 5000]; cross-check with HYD-C-022;HYD-C-020"
HYD-050,es,intake_crest_elev_m,,m,civil_drawings|mechanical_drawings,intake,intake_crest_elev_m,intake_crest_elev_m\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.001,"in [0, 5000]",False,False,True,"check value in [0, 5000]; cross-check with HYD-C-009"
HYD-051,es,intake_invert_elev_m,,m,civil_drawings|mechanical_drawings,intake,intake_invert_elev_m,intake_invert_elev_m\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.001,"in [0, 5000]",False,False,True,"check value in [0, 5000]; cross-check with HYD-C-009"
HYD-052,es,trash_rack_clear_spacing_mm,,mm,civil_drawings|mechanical_drawings,intake,trash_rack_clear_spacing_mm,trash_rack_clear_spacing_mm\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.1,"in [5, 200]",False,False,True,"check value in [5, 200]; cross-check with HYD-C-023"
HYD-053,es,trash_rack_bar_diameter_mm,,mm,civil_drawings|mechanical_drawings,intake,trash_rack_bar_diameter_mm,trash_rack_bar_diameter_mm\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.1,"in [5, 50]",False,False,True,"check value in [5, 50]; cross-check with HYD-C-023"
HYD-054,es,trash_rack_angle_deg,,deg,civil_drawings|mechanical_drawings,intake,trash_rack_angle_deg,trash_rack_angle_deg\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.1,"in [30, 90]",False,False,True,"check value in [30, 90]; cross-check with HYD-C-023"
HYD-055,es,intake_velocity_m_s,,m/s,civil_drawings|mechanical_drawings,intake,intake_velocity_m_s,intake_velocity_m_s\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.01,"in [0.3, 1.5]",False,False,True,"check value in [0.3, 1.5]; cross-check with HYD-C-023"
HYD-056,es,desander_length_m,,m,civil_drawings|mechanical_drawings,intake,desander_length_m,desander_length_m\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.01,"in [5, 100]",False,False,True,"check value in [5, 100]; cross-check with HYD-C-008"
HYD-057,es,desander_width_m,,m,civil_drawings|mechanical_drawings,intake,desander_width_m,desander_width_m\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.01,"in [1, 50]",False,False,True,"check value in [1, 50]; cross-check with HYD-C-008"
HYD-058,es,desander_velocity_m_s,,m/s,civil_drawings|mechanical_drawings,intake,desander_velocity_m_s,desander_velocity_m_s\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.001,"in [0.05, 0.5]",False,False,True,"check value in [0.05, 0.5]; cross-check with HYD-C-008"
HYD-059,es,desander_settling_velocity_m_s,,m/s,civil_drawings|mechanical_drawings,intake,desander_settling_velocity_m_s,desander_settling_velocity_m_s\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.0001,"in [0.0001, 0.5]",False,False,True,"check value in [0.0001, 0.5]; cross-check with HYD-C-008"
HYD-060,es,gate_type,,-,civil_drawings|mechanical_drawings,intake,gate_type,gate_type\s*[=:]?\s*([A-Za-z0-9_/-]+),intake,n/a; out of range,keep precision as-is,allowed_values: RADIAL;SLIDE;VERTICAL_LIFT,False,True,True,"check value in [None, None]; cross-check with HYD-C-023;HYD-C-026"
HYD-061,es,gate_design_head_m,,m,civil_drawings|mechanical_drawings,intake,gate_design_head_m,gate_design_head_m\s*[=:]?\s*([0-9.+-eE]+),intake,n/a; out of range,keep precision 0.01,"in [0, 300]",False,False,True,"check value in [0, 300]; cross-check with HYD-C-023"
HYD-070,es,penstock_internal_diameter_m,,m,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_internal_diameter_m,penstock_internal_diameter_m\s*[=:]?\s*([0-9.+-eE]+),penstock,n/a; out of range,keep precision 0.001,"in [0.05, 12]",False,False,True,"check value in [0.05, 12]; cross-check with HYD-C-011;HYD-C-013;HYD-C-014"
HYD-071,es,penstock_length_m,,m,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_length_m,penstock_length_m\s*[=:]?\s*([0-9.+-eE]+),penstock,n/a; out of range,keep precision 0.01,"in [1, 10000]",False,False,True,"check value in [1, 10000]; cross-check with HYD-C-011;HYD-C-013"
HYD-072,es,penstock_material,,-,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_material,penstock_material\s*[=:]?\s*([A-Za-z0-9_/-]+),penstock,n/a; out of range,keep precision as-is,allowed_values: STEEL_CARBON;STEEL_ALLOY;HDPE;FRP;RC,False,True,True,"check value in [None, None]; cross-check with HYD-C-013;HYD-C-014"
HYD-073,es,penstock_steel_yield_strength_MPa,,MPa,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_steel_yield_strength_MPa,penstock_steel_yield_strength_MPa\s*[=:]?\s*([0-9.+-eE]+),penstock,n/a; out of range,keep precision 1,"in [150, 500]",False,False,True,"check value in [150, 500]; cross-check with HYD-C-013;HYD-C-014"
HYD-074,es,penstock_steel_tensile_strength_MPa,,MPa,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_steel_tensile_strength_MPa,penstock_steel_tensile_strength_MPa\s*[=:]?\s*([0-9.+-eE]+),penstock,n/a; out of range,keep precision 1,"in [300, 700]",False,False,True,"check value in [300, 700]; cross-check with HYD-C-013"
HYD-075,es,penstock_design_pressure_MPa,,MPa,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_design_pressure_MPa,penstock_design_pressure_MPa\s*[=:]?\s*([0-9.+-eE]+),penstock,n/a; out of range,keep precision 0.001,"in [0.05, 30]",False,False,True,"check value in [0.05, 30]; cross-check with HYD-C-013;HYD-C-014;HYD-C-015"
HYD-076,es,penstock_test_pressure_MPa,,MPa,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_test_pressure_MPa,penstock_test_pressure_MPa\s*[=:]?\s*([0-9.+-eE]+),penstock,n/a; out of range,keep precision 0.001,"in [0.05, 40]",False,False,True,"check value in [0.05, 40]; cross-check with HYD-C-013"
HYD-077,es,penstock_wall_thickness_mm,,mm,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_wall_thickness_mm,penstock_wall_thickness_mm\s*[=:]?\s*([0-9.+-eE]+),penstock,n/a; out of range,keep precision 0.01,"in [2, 80]",False,False,True,"check value in [2, 80]; cross-check with HYD-C-013;HYD-C-014"
HYD-078,es,penstock_route_wkt,,-,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_route_wkt,penstock_route_wkt\s*[=:]?\s*([A-Za-z0-9_/-]+),penstock,n/a; out of range,keep precision as-is,allowed_values: WKT LINESTRING Z,False,True,True,"check value in [None, None]; cross-check with HYD-C-026"
HYD-079,es,penstock_corrosion_allowance_mm,,mm,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_corrosion_allowance_mm,penstock_corrosion_allowance_mm\s*[=:]?\s*([0-9.+-eE]+),penstock,n/a; out of range,keep precision 0.01,"in [0, 5]",False,False,True,"check value in [0, 5]; cross-check with HYD-C-013"
HYD-080,es,penstock_joint_efficiency_factor,,-,civil_drawings|stress_calc_memo|mechanical_drawings,penstock,penstock_joint_efficiency_factor,penstock_joint_efficiency_factor\s*[=:]?\s*([0-9.+-eE]+),penstock,n/a; out of range,keep precision 0.01,"in [0.7, 1.0]",False,False,True,"check value in [0.7, 1.0]; cross-check with HYD-C-013"
HYD-081,es,surge_tank_type,,-,surge_calc|civil_drawings,surge,surge_tank_type,surge_tank_type\s*[=:]?\s*([A-Za-z0-9_/-]+),surge,n/a; out of range,keep precision as-is,allowed_values: SIMPLE;DIFFERENTIAL;ONE_CHAMBER;TWO_CHAMBER;SURGE_SHAFT;NONE,False,True,True,"check value in [None, None]; cross-check with HYD-C-015;HYD-C-016"
HYD-082,es,surge_tank_diameter_m,,m,surge_calc|civil_drawings,surge,surge_tank_diameter_m,surge_tank_diameter_m\s*[=:]?\s*([0-9.+-eE]+),surge,n/a; out of range,keep precision 0.001,"in [0.5, 30]",False,False,True,"check value in [0.5, 30]; cross-check with HYD-C-015"
HYD-083,es,surge_tank_height_m,,m,surge_calc|civil_drawings,surge,surge_tank_height_m,surge_tank_height_m\s*[=:]?\s*([0-9.+-eE]+),surge,n/a; out of range,keep precision 0.01,"in [1, 200]",False,False,True,"check value in [1, 200]; cross-check with HYD-C-015"
HYD-084,es,waterhammer_wave_speed_m_s,,m/s,surge_calc|civil_drawings,surge,waterhammer_wave_speed_m_s,waterhammer_wave_speed_m_s\s*[=:]?\s*([0-9.+-eE]+),surge,n/a; out of range,keep precision 0.1,"in [200, 1500]",False,False,True,"check value in [200, 1500]; cross-check with HYD-C-015;HYD-C-016"
HYD-085,es,wicket_gate_closure_time_s,,s,surge_calc|civil_drawings,surge,wicket_gate_closure_time_s,wicket_gate_closure_time_s\s*[=:]?\s*([0-9.+-eE]+),surge,n/a; out of range,keep precision 0.01,"in [1, 60]",False,False,True,"check value in [1, 60]; cross-check with HYD-C-015;HYD-C-016;HYD-C-024"
HYD-086,es,allievi_constant_p,,-,surge_calc|civil_drawings,surge,allievi_constant_p,allievi_constant_p\s*[=:]?\s*([0-9.+-eE]+),surge,n/a; out of range,keep precision 0.001,"in [0, 100]",False,False,True,"check value in [0, 100]; cross-check with HYD-C-015"
HYD-090,es,powerhouse_length_m,,m,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,powerhouse_length_m,powerhouse_length_m\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.01,"in [5, 500]",False,False,True,"check value in [5, 500]; cross-check with HYD-C-026"
HYD-091,es,powerhouse_width_m,,m,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,powerhouse_width_m,powerhouse_width_m\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.01,"in [3, 80]",False,False,True,"check value in [3, 80]; cross-check with HYD-C-026"
HYD-092,es,powerhouse_height_m,,m,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,powerhouse_height_m,powerhouse_height_m\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.01,"in [3, 80]",False,False,True,"check value in [3, 80]; cross-check with HYD-C-026"
HYD-093,es,bridge_crane_capacity_ton,,ton,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,bridge_crane_capacity_ton,bridge_crane_capacity_ton\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.1,"in [1, 500]",False,False,True,"check value in [1, 500]; cross-check with HYD-C-026"
HYD-094,es,bridge_crane_span_m,,m,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,bridge_crane_span_m,bridge_crane_span_m\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.001,"in [2, 40]",False,False,True,"check value in [2, 40]; cross-check with HYD-C-026"
HYD-095,es,powerhouse_floor_elev_m,,m,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,powerhouse_floor_elev_m,powerhouse_floor_elev_m\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.001,"in [0, 5000]",False,False,True,"check value in [0, 5000]; cross-check with HYD-C-022;HYD-C-026"
HYD-096,es,machine_floor_elev_m,,m,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,machine_floor_elev_m,machine_floor_elev_m\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.001,"in [0, 5000]",False,False,True,"check value in [0, 5000]; cross-check with HYD-C-026"
HYD-097,es,tailrace_elev_m,,m,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,tailrace_elev_m,tailrace_elev_m\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.001,"in [0, 5000]",False,False,True,"check value in [0, 5000]; cross-check with HYD-C-022;HYD-C-026"
HYD-098,es,turbine_pit_elev_m,,m,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,turbine_pit_elev_m,turbine_pit_elev_m\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.001,"in [0, 5000]",False,False,True,"check value in [0, 5000]; cross-check with HYD-C-022;HYD-C-026"
HYD-099,es,powerhouse_embed_depth_m,,m,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,powerhouse_embed_depth_m,powerhouse_embed_depth_m\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.01,"in [0.5, 30]",False,False,True,"check value in [0.5, 30]; cross-check with HYD-C-022;HYD-C-026"
HYD-100,es,powerhouse_ventilation_rate_m3s,,m3/s,civil_drawings|mechanical_drawings|ventilation_calc,powerhouse,powerhouse_ventilation_rate_m3s,powerhouse_ventilation_rate_m3s\s*[=:]?\s*([0-9.+-eE]+),powerhouse,n/a; out of range,keep precision 0.001,"in [0, 200]",False,False,True,"check value in [0, 200]; cross-check with HYD-C-026"
HYD-110,es,turbine_type,,-,turbine_data_sheet|model_test_report,turbine,turbine_type,turbine_type\s*[=:]?\s*([A-Za-z0-9_/-]+),turbine,n/a; out of range,keep precision as-is,allowed_values: PELTON;FRANCIS;KAPLAN;TURGO;PROPELLER;CROSSFLOW,False,True,True,"check value in [None, None]; cross-check with HYD-C-017;HYD-C-018;HYD-C-019"
HYD-111,es,turbine_rated_head_m,,m,turbine_data_sheet|model_test_report,turbine,turbine_rated_head_m,turbine_rated_head_m\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.01,"in [0.5, 2000]",False,False,True,"check value in [0.5, 2000]; cross-check with HYD-C-018;HYD-C-019"
HYD-112,es,turbine_rated_flow_m3s,,m3/s,turbine_data_sheet|model_test_report,turbine,turbine_rated_flow_m3s,turbine_rated_flow_m3s\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.001,"in [0.01, 1000]",False,False,True,"check value in [0.01, 1000]; cross-check with HYD-C-018;HYD-C-019"
HYD-113,es,turbine_rated_power_kW,,kW,turbine_data_sheet|model_test_report,turbine,turbine_rated_power_kW,turbine_rated_power_kW\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 1,"in [1, 1000000]",False,False,True,"check value in [1, 1000000]; cross-check with HYD-C-018;HYD-C-019"
HYD-114,es,turbine_synchronous_speed_rpm,,rpm,turbine_data_sheet|model_test_report,turbine,turbine_synchronous_speed_rpm,turbine_synchronous_speed_rpm\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.001,"in [50, 1500]",False,False,True,"check value in [50, 1500]; cross-check with HYD-C-018;HYD-C-019"
HYD-115,es,turbine_runaway_speed_rpm,,rpm,turbine_data_sheet|model_test_report,turbine,turbine_runaway_speed_rpm,turbine_runaway_speed_rpm\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.001,"in [50, 2500]",False,False,True,"check value in [50, 2500]; cross-check with HYD-C-018"
HYD-116,es,runner_diameter_m,,m,turbine_data_sheet|model_test_report,turbine,runner_diameter_m,runner_diameter_m\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.001,"in [0.05, 12]",False,False,True,"check value in [0.05, 12]; cross-check with HYD-C-018"
HYD-117,es,runner_inlet_diameter_m,,m,turbine_data_sheet|model_test_report,turbine,runner_inlet_diameter_m,runner_inlet_diameter_m\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.001,"in [0.05, 12]",False,False,True,"check value in [0.05, 12]; cross-check with HYD-C-018"
HYD-118,es,turbine_peak_efficiency_pct,,%,turbine_data_sheet|model_test_report,turbine,turbine_peak_efficiency_pct,turbine_peak_efficiency_pct\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.01,"in [50, 98]",False,False,True,"check value in [50, 98]; cross-check with HYD-C-019"
HYD-119,es,turbine_rated_efficiency_pct,,%,turbine_data_sheet|model_test_report,turbine,turbine_rated_efficiency_pct,turbine_rated_efficiency_pct\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.01,"in [50, 98]",False,False,True,"check value in [50, 98]; cross-check with HYD-C-019"
HYD-120,es,sigma_thoma_plant,,-,turbine_data_sheet|model_test_report,turbine,sigma_thoma_plant,sigma_thoma_plant\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.0001,"in [0, 2]",False,False,True,"check value in [0, 2]; cross-check with HYD-C-020"
HYD-121,es,sigma_thoma_model,,-,turbine_data_sheet|model_test_report,turbine,sigma_thoma_model,sigma_thoma_model\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.0001,"in [0, 2]",False,False,True,"check value in [0, 2]; cross-check with HYD-C-020"
HYD-122,es,turbine_specific_speed_nsq,,-,turbine_data_sheet|model_test_report,turbine,turbine_specific_speed_nsq,turbine_specific_speed_nsq\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.1,"in [10, 1000]",False,False,True,"check value in [10, 1000]; cross-check with HYD-C-018;HYD-C-019"
HYD-123,es,pelton_jet_diameter_m,,m,turbine_data_sheet|model_test_report,turbine,pelton_jet_diameter_m,pelton_jet_diameter_m\s*[=:]?\s*([0-9.+-eE]+),turbine,n/a; out of range,keep precision 0.0001,"in [0.01, 1]",False,False,True,"check value in [0.01, 1]; cross-check with HYD-C-018"
