field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
WON-034,es;en,icing dias ano,,días/año,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,icing_dias_ano,regex:([0-9]+\.?[0-9]*)\s*días/año,icing_dias_ano;Estadísticas meteorológicas,not applicable;assumed;estimated,value in valid range,value between 0 and 120,false,false,false,review if outlier
WON-035,es;en,velocidad corrosion categoria,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,velocidad_corrosion_categoria,,velocidad_corrosion_categoria;Categorización ISO 9223,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-040,es;en,terrain complexity rix,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,terrain_complexity_rix,regex:([0-9]+\.?[0-9]*)\s*%,terrain_complexity_rix;Modelo de elevación + RIX,not applicable;assumed;estimated,value in valid range,value between 0 and 30,false,false,false,review if outlier
WON-041,es;en,forest cobertura pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,forest_cobertura_pct,regex:([0-9]+\.?[0-9]*)\s*%,forest_cobertura_pct;Cartografía SIG de cobertura,not applicable;assumed;estimated,value in valid range,value between 0 and 100,false,false,false,review if outlier
WON-042,es;en,slope pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,slope_pct,regex:([0-9]+\.?[0-9]*)\s*%,slope_pct;Análisis espacial GIS,not applicable;assumed;estimated,value in valid range,value between 0 and 25,false,false,false,review if outlier
WON-043,es;en,area total ha,,ha,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,area_total_ha,regex:([0-9]+\.?[0-9]*)\s*ha,area_total_ha;Plano de implantación,not applicable;assumed;estimated,value in valid range,value between 1 and 10000,false,false,false,review if outlier
WON-044,es;en,coordenadas centro utm,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,coordenadas_centro_utm,,coordenadas_centro_utm;Sistema de referencia UTM,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-050,es;en,wake model,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,wake_model,,wake_model;Sección 'Wake model' del reporte,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-051,es;en,wake loss pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,wake_loss_pct,regex:([0-9]+\.?[0-9]*)\s*%,wake_loss_pct;Tabla de pérdidas,not applicable;assumed;estimated,value in valid range,value between 0 and 20,false,false,false,review if outlier
WON-052,es;en,spacing crosswind D,,D,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,spacing_crosswind_D,regex:([0-9]+\.?[0-9]*)\s*D,spacing_crosswind_D;Plano de micrositing con distancias,not applicable;assumed;estimated,value in valid range,value between 3 and 8,false,false,false,review if outlier
WON-053,es;en,spacing downwind D,,D,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,spacing_downwind_D,regex:([0-9]+\.?[0-9]*)\s*D,spacing_downwind_D;Plano de micrositing con distancias,not applicable;assumed;estimated,value in valid range,value between 5 and 12,false,false,false,review if outlier
WON-060,es;en,aep gross MWh,,MWh/año,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,aep_gross_MWh,regex:([0-9]+\.?[0-9]*)\s*MWh/año,aep_gross_MWh;Tabla AEP del reporte,not applicable;assumed;estimated,value in valid range,value between 0 and 1500000,false,false,false,review if outlier
WON-061,es;en,aep net MWh,,MWh/año,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,aep_net_MWh,regex:([0-9]+\.?[0-9]*)\s*MWh/año,aep_net_MWh;Tabla AEP del reporte,not applicable;assumed;estimated,value in valid range,value between 0 and 1500000,false,false,false,review if outlier
WON-062,es;en,perdidas electricas pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,perdidas_electricas_pct,regex:([0-9]+\.?[0-9]*)\s*%,perdidas_electricas_pct;Tabla de pérdidas,not applicable;assumed;estimated,value in valid range,value between 0.5 and 6,false,false,false,review if outlier
WON-063,es;en,perdidas disponibilidad pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,perdidas_disponibilidad_pct,regex:([0-9]+\.?[0-9]*)\s*%,perdidas_disponibilidad_pct;Tabla de pérdidas,not applicable;assumed;estimated,value in valid range,value between 0.5 and 8,false,false,false,review if outlier
WON-064,es;en,perdidas ambientales pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,perdidas_ambientales_pct,regex:([0-9]+\.?[0-9]*)\s*%,perdidas_ambientales_pct;Tabla de pérdidas,not applicable;assumed;estimated,value in valid range,value between 0 and 15,false,false,false,review if outlier
WON-065,es;en,capacidad instalada MW,,MW,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,capacidad_instalada_MW,regex:([0-9]+\.?[0-9]*)\s*MW,capacidad_instalada_MW;Listado de turbinas y potencias,not applicable;assumed;estimated,value in valid range,value between 0.1 and 1000,false,false,false,review if outlier
WON-066,es;en,capacity factor pu,,pu,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,capacity_factor_pu,regex:([0-9]+\.?[0-9]*)\s*pu,capacity_factor_pu;Tabla de KPIs,not applicable;assumed;estimated,value in valid range,value between 0.10 and 0.65,false,false,false,review if outlier
WON-070,es;en,turbina potencia nominal kW,,kW,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_potencia_nominal_kW,regex:([0-9]+\.?[0-9]*)\s*kW,turbina_potencia_nominal_kW;Tabla 'Rated power',not applicable;assumed;estimated,value in valid range,value between 100 and 15000,false,false,false,review if outlier
WON-071,es;en,turbina diametro rotor m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_diametro_rotor_m,regex:([0-9]+\.?[0-9]*)\s*m,turbina_diametro_rotor_m;Tabla 'Rotor diameter',not applicable;assumed;estimated,value in valid range,value between 20 and 250,false,false,false,review if outlier
WON-072,es;en,turbina altura buje m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_altura_buje_m,regex:([0-9]+\.?[0-9]*)\s*m,turbina_altura_buje_m;Tabla 'Hub height',not applicable;assumed;estimated,value in valid range,value between 20 and 200,false,false,false,review if outlier
WON-073,es;en,turbina v cut in ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_v_cut_in_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,turbina_v_cut_in_ms;Curva de potencia,not applicable;assumed;estimated,value in valid range,value between 1.5 and 5,false,false,false,review if outlier
WON-074,es;en,turbina v cut out ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_v_cut_out_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,turbina_v_cut_out_ms;Curva de potencia,not applicable;assumed;estimated,value in valid range,value between 20 and 35,false,false,false,review if outlier
WON-075,es;en,turbina v nominal ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_v_nominal_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,turbina_v_nominal_ms;Curva de potencia,not applicable;assumed;estimated,value in valid range,value between 8 and 15,false,false,false,review if outlier
WON-076,es;en,turbina curva potencia,,kW,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_curva_potencia,regex:([0-9]+\.?[0-9]*)\s*kW,turbina_curva_potencia;Tabla 'Power curve',not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-077,es;en,turbina curva thrust coef,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_curva_thrust_coef,,turbina_curva_thrust_coef;Tabla 'Thrust coefficient',not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-078,es;en,turbina nivel potencia sonora dBA,,dBA,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_nivel_potencia_sonora_dBA,regex:([0-9]+\.?[0-9]*)\s*dBA,turbina_nivel_potencia_sonora_dBA;Tabla 'Apparent sound power level',not applicable;assumed;estimated,value in valid range,value between 90 and 115,false,false,false,review if outlier
WON-079,es;en,turbina clase proteccion rayo lps,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_clase_proteccion_rayo_lps,,turbina_clase_proteccion_rayo_lps;Tabla 'Lightning protection level',not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-080,es;en,turbina numero paleas,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_numero_paleas,,turbina_numero_paleas;Tabla 'Number of blades',not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-081,es;en,turbina velocidad rotor nominal rpm,,rpm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_velocidad_rotor_nominal_rpm,regex:([0-9]+\.?[0-9]*)\s*rpm,turbina_velocidad_rotor_nominal_rpm;Tabla 'Rated rotor speed',not applicable;assumed;estimated,value in valid range,value between 5 and 25,false,false,false,review if outlier
WON-082,es;en,turbina gama tolerancia potencia pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbina_gama_tolerancia_potencia_pct,regex:([0-9]+\.?[0-9]*)\s*%,turbina_gama_tolerancia_potencia_pct;Tabla 'Power tolerance',not applicable;assumed;estimated,value in valid range,value between -5 and 5,false,false,false,review if outlier
WON-090,es;en,torre tipo estructura,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,torre_tipo_estructura,,torre_tipo_estructura;Tabla 'Tower type',not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-091,es;en,torre numero secciones,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,torre_numero_secciones,,torre_numero_secciones;Plan de transporte y ensamblaje,not applicable;assumed;estimated,value in valid range,value between 2 and 6,false,false,false,review if outlier
WON-092,es;en,torre diametro base m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,torre_diametro_base_m,regex:([0-9]+\.?[0-9]*)\s*m,torre_diametro_base_m;Tabla 'Tower base diameter',not applicable;assumed;estimated,value in valid range,value between 3 and 8,false,false,false,review if outlier
WON-093,es;en,torre momento base kNm,,kN·m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,torre_momento_base_kNm,regex:([0-9]+\.?[0-9]*)\s*kN·m,torre_momento_base_kNm;Tabla 'Extreme loads at tower base',not applicable;assumed;estimated,value in valid range,value between 10000 and 300000,false,false,false,review if outlier
WON-094,es;en,torre frecuencia natural hz,,Hz,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,torre_frecuencia_natural_hz,regex:([0-9]+\.?[0-9]*)\s*Hz,torre_frecuencia_natural_hz;Tabla 'Tower natural frequencies',not applicable;assumed;estimated,value in valid range,value between 0.15 and 1.5,false,false,false,review if outlier
WON-095,es;en,torre flanges tipo,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,torre_flanges_tipo,,torre_flanges_tipo;Planos de detalle de torre,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-100,es;en,fundacion tipo,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,fundacion_tipo,,fundacion_tipo;Tabla 'Foundation type' del reporte geotécnico,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-101,es;en,capacidad carga admisible kPa,,kPa,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,capacidad_carga_admisible_kPa,regex:([0-9]+\.?[0-9]*)\s*kPa,capacidad_carga_admisible_kPa;Tabla 'Bearing capacity',not applicable;assumed;estimated,value in valid range,value between 50 and 800,false,false,false,review if outlier
WON-102,es;en,fundacion profundidad desplante m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,fundacion_profundidad_desplante_m,regex:([0-9]+\.?[0-9]*)\s*m,fundacion_profundidad_desplante_m;Planos de cimentación,not applicable;assumed;estimated,value in valid range,value between 1 and 6,false,false,false,review if outlier
WON-103,es;en,fundacion dimensiones m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,fundacion_dimensiones_m,regex:([0-9]+\.?[0-9]*)\s*m,fundacion_dimensiones_m;Planos de cimentación,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-104,es;en,fundacion concreto resistencia MPa,,MPa,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,fundacion_concreto_resistencia_MPa,regex:([0-9]+\.?[0-9]*)\s*MPa,fundacion_concreto_resistencia_MPa;Especificación de concreto,not applicable;assumed;estimated,value in valid range,value between 20 and 60,false,false,false,review if outlier
WON-105,es;en,pilote capacidad axial kN,,kN,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,pilote_capacidad_axial_kN,regex:([0-9]+\.?[0-9]*)\s*kN,pilote_capacidad_axial_kN;Tabla 'Pile axial capacity',not applicable;assumed;estimated,value in valid range,value between 500 and 20000,false,false,false,review if outlier
WON-110,es;en,road gradient max pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,road_gradient_max_pct,regex:([0-9]+\.?[0-9]*)\s*%,road_gradient_max_pct;Tabla 'Road gradient',not applicable;assumed;estimated,value in valid range,value between 0 and 12,false,false,false,review if outlier
WON-111,es;en,road curve radius min m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,road_curve_radius_min_m,regex:([0-9]+\.?[0-9]*)\s*m,road_curve_radius_min_m;Tabla 'Horizontal curve radius',not applicable;assumed;estimated,value in valid range,value between 30 and 100,false,false,false,review if outlier
WON-112,es;en,road weight limit t,,t,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,road_weight_limit_t,regex:([0-9]+\.?[0-9]*)\s*t,road_weight_limit_t;Tabla 'Weight limit',not applicable;assumed;estimated,value in valid range,value between 20 and 120,false,false,false,review if outlier
WON-113,es;en,road width m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,road_width_m,regex:([0-9]+\.?[0-9]*)\s*m,road_width_m;Tabla 'Road width',not applicable;assumed;estimated,value in valid range,value between 4 and 8,false,false,false,review if outlier
WON-114,es;en,road longitud km,,km,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,road_longitud_km,regex:([0-9]+\.?[0-9]*)\s*km,road_longitud_km;Plano de caminos,not applicable;assumed;estimated,value in valid range,value between 0.1 and 200,false,false,false,review if outlier
WON-120,es;en,transporte puerto a sitio km,,km,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,transporte_puerto_a_sitio_km,regex:([0-9]+\.?[0-9]*)\s*km,transporte_puerto_a_sitio_km;Mapa de rutas de transporte,not applicable;assumed;estimated,value in valid range,value between 1 and 1500,false,false,false,review if outlier
WON-121,es;en,transporte puente peso max t,,t,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,transporte_puente_peso_max_t,regex:([0-9]+\.?[0-9]*)\s*t,transporte_puente_peso_max_t;Inventario de puentes en ruta,not applicable;assumed;estimated,value in valid range,value between 10 and 150,false,false,false,review if outlier
WON-122,es;en,transporte radio giro min m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,transporte_radio_giro_min_m,regex:([0-9]+\.?[0-9]*)\s*m,transporte_radio_giro_min_m;Tabla 'Turning radius',not applicable;assumed;estimated,value in valid range,value between 15 and 60,false,false,false,review if outlier
WON-130,es;en,grua capacidad principal t,,t,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,grua_capacidad_principal_t,regex:([0-9]+\.?[0-9]*)\s*t,grua_capacidad_principal_t;Tabla 'Main crane capacity',not applicable;assumed;estimated,value in valid range,value between 100 and 1500,false,false,false,review if outlier
WON-131,es;en,grua capacidad secundaria t,,t,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,grua_capacidad_secundaria_t,regex:([0-9]+\.?[0-9]*)\s*t,grua_capacidad_secundaria_t;Tabla 'Auxiliary crane capacity',not applicable;assumed;estimated,value in valid range,value between 5 and 200,false,false,false,review if outlier
WON-132,es;en,grua pad dimensiones m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,grua_pad_dimensiones_m,regex:([0-9]+\.?[0-9]*)\s*m,grua_pad_dimensiones_m;Tabla 'Crane pad dimensions',not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-133,es;en,grua pad capacidad carga kPa,,kPa,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,grua_pad_capacidad_carga_kPa,regex:([0-9]+\.?[0-9]*)\s*kPa,grua_pad_capacidad_carga_kPa;Tabla 'Crane pad bearing capacity',not applicable;assumed;estimated,value in valid range,value between 100 and 500,false,false,false,review if outlier
WON-140,es;en,colector tension nominal kV,,kV,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,colector_tension_nominal_kV,regex:([0-9]+\.?[0-9]*)\s*kV,colector_tension_nominal_kV;SLD colector,not applicable;assumed;estimated,value in valid range,value between 10 and 66,false,false,false,review if outlier
WON-141,es;en,colector cable seccion mm2,,mm2,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,colector_cable_seccion_mm2,regex:([0-9]+\.?[0-9]*)\s*mm2,colector_cable_seccion_mm2;Tabla de cables,not applicable;assumed;estimated,value in valid range,value between 50 and 1000,false,false,false,review if outlier
WON-142,es;en,scada protocolo comunicaciones,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,scada_protocolo_comunicaciones,,scada_protocolo_comunicaciones;Tabla 'Communication protocol',not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-143,es;en,subestacion tension alta kV,,kV,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,subestacion_tension_alta_kV,regex:([0-9]+\.?[0-9]*)\s*kV,subestacion_tension_alta_kV;SLD subestación,not applicable;assumed;estimated,value in valid range,value between 10 and 500,false,false,false,review if outlier
WON-144,es;en,transformador wt potencia kVA,,kVA,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,transformador_wt_potencia_kVA,regex:([0-9]+\.?[0-9]*)\s*kVA,transformador_wt_potencia_kVA;Tabla 'WT transformer',not applicable;assumed;estimated,value in valid range,value between 100 and 20000,false,false,false,review if outlier
WON-150,es;en,ruido ambiente receptor dBA,,dBA,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,ruido_ambiente_receptor_dBA,regex:([0-9]+\.?[0-9]*)\s*dBA,ruido_ambiente_receptor_dBA;Tabla 'Background noise',not applicable;assumed;estimated,value in valid range,value between 20 and 60,false,false,false,review if outlier
WON-151,es;en,ruido limite receptor dBA,,dBA,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,ruido_limite_receptor_dBA,regex:([0-9]+\.?[0-9]*)\s*dBA,ruido_limite_receptor_dBA;Tabla 'Noise limit per receptor',not applicable;assumed;estimated,value in valid range,value between 0 and 20,false,false,false,review if outlier
WON-152,es;en,ruido distancia receptor min m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,ruido_distancia_receptor_min_m,regex:([0-9]+\.?[0-9]*)\s*m,ruido_distancia_receptor_min_m;Plano de isófonas y receptores,not applicable;assumed;estimated,value in valid range,value between 200 and 2000,false,false,false,review if outlier
WON-160,es;en,shadow flicker limite horas ano,,h/año,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,shadow_flicker_limite_horas_ano,regex:([0-9]+\.?[0-9]*)\s*h/año,shadow_flicker_limite_horas_ano;Tabla 'Shadow flicker limit',not applicable;assumed;estimated,value in valid range,value between 0 and 30,false,false,false,review if outlier
WON-161,es;en,shadow flicker calculado horas ano,,h/año,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,shadow_flicker_calculado_horas_ano,regex:([0-9]+\.?[0-9]*)\s*h/año,shadow_flicker_calculado_horas_ano;Tabla 'Shadow flicker per receptor',not applicable;assumed;estimated,value in valid range,value between 0 and 200,false,false,false,review if outlier
WON-170,es;en,aviation requiere luces bool,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,aviation_requiere_luces_bool,,aviation_requiere_luces_bool;Plano de luces de aviación,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-171,es;en,aviation tipo luz,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,aviation_tipo_luz,,aviation_tipo_luz;Plano de luces de aviación,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-180,es;en,archaeological exclusion zones,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,archaeological_exclusion_zones,,archaeological_exclusion_zones;Cartografía arqueológica,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-181,es;en,ambiental zonas exclusion,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,ambiental_zonas_exclusion,,ambiental_zonas_exclusion;Cartografía ambiental,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-190,es;en,decom financial garantia monto USD,,USD,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,decom_financial_garantia_monto_USD,regex:([0-9]+\.?[0-9]*)\s*USD,decom_financial_garantia_monto_USD;Tabla 'Decommissioning bond',not applicable;assumed;estimated,value in valid range,value between 1000 and 50000000,false,false,false,review if outlier
WON-191,es;en,decom horizonte ano,,año,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,decom_horizonte_ano,regex:([0-9]+\.?[0-9]*)\s*año,decom_horizonte_ano;Tabla 'Decommissioning date',not applicable;assumed;estimated,value in valid range,value between 2026 and 2100,false,false,false,review if outlier
